"","country","points","price","province","title","variety","winery"
"60","Italy",89,40,"Tuscany","La Collina dei Lecci 2011  Brunello di Montalcino","Sangiovese","La Collina dei Lecci"
"61","Spain",84,9,"Northern Spain","Vega Sindoa 2014 Garnacha Garnacha (Navarra)","Garnacha","Vega Sindoa"
"62","Argentina",91,20,"Mendoza Province","Don Manuel Villafañe 2013 Reserva Malbec (Mendoza)","Malbec","Don Manuel Villafañe"
"63","Italy",90,15,"Tuscany","Badia a Coltibuono 2012 RS  (Chianti Classico)","Sangiovese","Badia a Coltibuono"
"64","France",91,30,"Provence","Château de Berne 2014 Rosé (Côtes de Provence)","Rosé","Château de Berne"
"65","Macedonia",89,20,"Tikves","Stobi 2011 Veritas Vranec (Tikves)","Vranec","Stobi"
"66","Italy",88,45,"Tuscany","Sangervasio 2011 I Renai Merlot (Toscana)","Merlot","Sangervasio"
"67","US",89,39,"Oregon","J. Christopher 2014 Dundee Hills Cuvée Pinot Noir (Dundee Hills)","Pinot Noir","J. Christopher"
"68","France",88,42,"Burgundy","Château de Santenay 2015  Mercurey","Chardonnay","Château de Santenay"
"69","US",84,18,"California","Castle Rock 2010 Chardonnay (Russian River Valley)","Chardonnay","Castle Rock"
"70","US",85,25,"California","Bodegas M 2011 Tinto de Paso Tempranillo (Paso Robles)","Tempranillo","Bodegas M"
"71","US",90,17,"California","Babcock 2014 Identity Crisis Grenache (Santa Barbara County)","Grenache","Babcock"
"72","New Zealand",86,15,"Martinborough","Martinborough Vineyard 2001 Riesling (Martinborough)","Riesling","Martinborough Vineyard"
"73","US",88,50,"California","Peju 2010 Cabernet Franc (Napa Valley)","Cabernet Franc","Peju"
"74","France",84,10,"Bordeaux","Domaines Lapalu 2008 La Patache  (Médoc)","Cabernet Sauvignon","Domaines Lapalu"
"75","Italy",89,45,"Sicily & Sardinia","Donnafugata 2009 Tancredi Red (Sicilia)","Red Blend","Donnafugata"
"76","France",87,17,"Provence","Château de Calavon 2015 Rosé (Coteaux d'Aix-en-Provence)","Rosé","Château de Calavon"
"77","France",91,65,"Bordeaux","Château la Fortune 2014  Margaux","Bordeaux-style Red Blend","Château la Fortune"
"78","US",90,22,"California","Peterson 2006 Zinfandel (Dry Creek Valley)","Zinfandel","Peterson"
"79","Spain",84,16,"Northern Spain","Finca Nueva 2013 Fermentado en Barrica Viura (Rioja)","Viura","Finca Nueva"
"80","Italy",90,17,"Veneto","Montelvini 2015 Montellini Extra Brut  (Asolo Prosecco Superiore)","Glera","Montelvini"
"81","US",90,21,"Washington","Two Vintners 2014 Make Haste Olsen Vineyard Cinsault (Yakima Valley)","Cinsault","Two Vintners"
"82","Italy",92,35,"Piedmont","Pertinace 2008  Barolo","Nebbiolo","Pertinace"
"83","Portugal",86,NA,"Alentejano","Caves Velhas 2010 Romeira Red (Alentejano)","Portuguese Red","Caves Velhas"
"84","Italy",88,13,"Tuscany","Giannoni Fabbri 2010 Amato Syrah (Cortona)","Syrah","Giannoni Fabbri"
"85","US",87,30,"California","Wilson 2012 Zinfandel (Dry Creek Valley)","Zinfandel","Wilson"
"86","US",91,64,"California","Ram's Gate 2012 Ulises Valdez Diablo Vineyard Chardonnay (Russian River Valley)","Chardonnay","Ram's Gate"
"87","Portugal",93,47,"Port","Burmester 1989 Colheita Tawny  (Port)","Port","Burmester"
"88","US",95,44,"California","Claiborne & Churchill 2015 Twin Creeks Pinot Noir (Edna Valley)","Pinot Noir","Claiborne & Churchill"
"89","US",90,30,"California","Gauguine 2013 Syrah (Solano County)","Syrah","Gauguine"
"90","France",82,19,"France Other","Gérard Bertrand 2016 Perles de Sauvignon Blanc (Vin de France)","Sauvignon Blanc","Gérard Bertrand"
"91","US",88,29,"Virginia","Annefield Vineyards 2009 Cabernet Franc (Virginia)","Cabernet Franc","Annefield Vineyards"
"92","Chile",86,11,"Casablanca Valley","Laroche 2011 Punto Niño Reserva Chardonnay (Casablanca Valley)","Chardonnay","Laroche"
"93","Italy",87,17,"Tuscany","San Fabiano Calcinaia 2013 Casa Boschino Red (Toscana)","Red Blend","San Fabiano Calcinaia"
"94","US",90,23,"Washington","Novelty Hill 2014 Merlot (Columbia Valley (WA))","Merlot","Novelty Hill"
"95","Portugal",86,14,"Tejo","Fiuza 2015 Merlot (Tejo)","Merlot","Fiuza"
"96","Chile",85,10,"Curicó Valley","Millaman 2014 Estate Reserve Sauvignon Blanc (Curicó Valley)","Sauvignon Blanc","Millaman"
"97","US",92,36,"California","Sante Arcangeli 2013 Split Rail Vineyard Pinot Noir (Santa Cruz Mountains)","Pinot Noir","Sante Arcangeli"
"98","US",94,115,"California","Chimney Rock 2008 Tomahawk Cabernet Sauvignon (Stags Leap District)","Cabernet Sauvignon","Chimney Rock"
"99","France",91,55,"Champagne","Bertrand-Delespierre 2008 Millésimé Premier Cru Brut  (Champagne)","Champagne Blend","Bertrand-Delespierre"
"100","US",85,37,"California","Cuvée Wine Cellars 2010 Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Cuvée Wine Cellars"
"101","US",88,26,"Washington","Savage Grace 2014 Côt Red Wine Dineen Vineyard Malbec (Rattlesnake Hills)","Malbec","Savage Grace"
"102","US",87,21,"Washington","Cavatappi 2012 Molly's Sangiovese (Columbia Valley (WA))","Sangiovese","Cavatappi"
"103","Greece",86,23,"Crete","Mediterra 2007 Kotsifali & Mandilaria Red (Crete)","Red Blend","Mediterra"
"104","Italy",88,17,"Veneto","Valdellövo 2014 Anno Zero Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore)","Sparkling Blend","Valdellövo"
"105","France",88,28,"France Other","Yves Leccia 2015 Domaine D'E Croce Rosé (Patrimonio)","Rosé","Yves Leccia"
"106","Germany",91,23,"Mosel","Friedrich-Wilhelm-Gymnasium 2013 Graacher Himmelreich Kabinett Riesling (Mosel)","Riesling","Friedrich-Wilhelm-Gymnasium"
"107","France",88,58,"Burgundy","Domaine de Bellene 2012  Savigny-lès-Beaune","Chardonnay","Domaine de Bellene"
"108","US",87,25,"Oregon","Argyle 2008 Riesling (Eola-Amity Hills)","Riesling","Argyle"
"109","France",86,18,"Loire Valley","Remy-Pannier 2011  Chinon","Cabernet Franc","Remy-Pannier"
"110","US",94,75,"Washington","Dunham 2009 Lewis Vineyard Cabernet Sauvignon (Columbia Valley (WA))","Cabernet Sauvignon","Dunham"
"111","US",86,22,"New York","Silver Thread 2008 Blackbird Cabernet Franc-Cabernet Sauvignon (Finger Lakes)","Cabernet Franc-Cabernet Sauvignon","Silver Thread"
"112","US",87,56,"California","Jeff Gordon 2010 Leo Pinot Noir (Sonoma Coast)","Pinot Noir","Jeff Gordon"
"113","Austria",92,45,"Leithaberg","Gernot and Heike Heinrich 2009 Blaufränkisch (Leithaberg)","Blaufränkisch","Gernot and Heike Heinrich"
"114","US",93,20,"California","McClean 2010 Simone Red (Paso Robles)","Red Blend","McClean"
"115","US",88,45,"California","Salvestrin 1999 Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Salvestrin"
"116","US",92,32,"Oregon","W.T. Vintners 2012 Dalliance Stoney Vine Vineyard Red (Walla Walla Valley (OR))","Rhône-style Red Blend","W.T. Vintners"
"117","US",87,45,"California","HammerSky 2010 Red Handed Merlot (Paso Robles)","Merlot","HammerSky"
"118","US",93,75,"California","Talley 2014 Rosemary's Vineyard Pinot Noir (Arroyo Grande Valley)","Pinot Noir","Talley"
"119","US",90,30,"California","Dominus 1997 Napanook Vyd Red (Napa Valley)","Bordeaux-style Red Blend","Dominus"
"120","Italy",89,25,"Tuscany","Castiglion del Bosco 2010  Rosso di Montalcino","Sangiovese Grosso","Castiglion del Bosco"
"121","Portugal",87,50,"Port","Messias NV 20 Anos Tawny  (Port)","Port","Messias"
"122","US",87,14,"New York","Keuka Spring 2009 Chardonnay (Finger Lakes)","Chardonnay","Keuka Spring"
"123","France",92,NA,"Bordeaux","Château Marquis de Terme 2012  Margaux","Bordeaux-style Red Blend","Château Marquis de Terme"
"124","US",85,NA,"California","Stave & Steel 2015 Bourbon Barrel Aged Cabernet Sauvignon (Paso Robles)","Cabernet Sauvignon","Stave & Steel"
"125","US",89,70,"Oregon","Sokol Blosser 2014 Orchard Block Pinot Noir (Dundee Hills)","Pinot Noir","Sokol Blosser"
"126","South Africa",88,21,"Philadelphia","Capaia 2007 Blue Grove Hill Merlot-Cabernet Sauvignon (Philadelphia)","Merlot-Cabernet Sauvignon","Capaia"
"127","US",87,12,"Washington","Drumheller 2015 Merlot (Columbia Valley (WA))","Merlot","Drumheller"
"128","Portugal",88,NA,"Port","Quinta do Crasto 2008 Vintage  (Port)","Port","Quinta do Crasto"
"129","France",90,22,"Alsace","Vieil Armand 2009 Château Ollwiller Grand Cru Riesling (Alsace)","Riesling","Vieil Armand"
"130","Chile",86,9,"Central Valley","San Pedro 2008 35° South Reserva Sauvignon Blanc (Central Valley)","Sauvignon Blanc","San Pedro"
"131","Spain",89,NA,"Northern Spain","Viña Mayor 2009 Halo de Secreto  (Ribera del Duero)","Tempranillo","Viña Mayor"
"132","France",85,69,"Champagne","Besserat de Bellefon NV Cuvée des Moines Brut Blanc de Blancs Chardonnay (Champagne)","Chardonnay","Besserat de Bellefon"
"133","US",94,54,"California","Tandem 2006 Manchester  Ridge Vineyard Chardonnay (Mendocino Ridge)","Chardonnay","Tandem"
"134","France",88,28,"Bordeaux","Château Pindefleurs 2014  Saint-Émilion","Bordeaux-style Red Blend","Château Pindefleurs"
"135","France",85,20,"Southwest France","Clos Troteligotte 2015 K-Pot' Malbec (Cahors)","Malbec","Clos Troteligotte"
"136","Italy",94,180,"Piedmont","Ascheri 2013 Ascheri  (Barolo)","Nebbiolo","Ascheri"
"137","US",87,19,"California","Mason Cellars 2016 Sauvignon Blanc (Napa Valley)","Sauvignon Blanc","Mason Cellars"
"138","US",85,36,"Oregon","Silvan Ridge 2009 Lazy River Vineyard Reserve Pinot Noir (Willamette Valley)","Pinot Noir","Silvan Ridge"
"139","France",87,14,"Burgundy","Louis Jadot 2009  Mâcon-Villages","Chardonnay","Louis Jadot"
"140","Italy",86,18,"Southern Italy","Fratelli Urciuolo 2007  Fiano di Avellino","Fiano","Fratelli Urciuolo"
"141","Chile",88,19,"Maule Valley","San Pedro 2009 1865 Single Vineyard Carmenère (Maule Valley)","Carmenère","San Pedro"
"142","France",91,NA,"Bordeaux","Château Montrose 2011 La Dame de Montrose  (Saint-Estèphe)","Bordeaux-style Red Blend","Château Montrose"
"143","France",84,12,"Southwest France","Château Laulerie 2014 White (Bergerac Sec)","Bordeaux-style White Blend","Château Laulerie"
"144","France",90,14,"Bordeaux","Château de Marsan 2014  Bordeaux Blanc","Bordeaux-style White Blend","Château de Marsan"
"145","Portugal",85,8,"Bairrada","Colinas de São Lourenço 2008 Rosé Red (Bairrada)","Portuguese Red","Colinas de São Lourenço"
"146","US",88,27,"California","Schramsberg NV Mirabelle Brut Rosé Sparkling (Napa-Mendocino-Sonoma-Marin)","Sparkling Blend","Schramsberg"
"147","France",91,20,"Southwest France","Château Laulerie 2009 Comtesse de Ségur  (Montravel)","Bordeaux-style Red Blend","Château Laulerie"
"148","Chile",82,12,"Maule Valley","Chilensis 2008 Reserva Sauvignon Blanc (Maule Valley)","Sauvignon Blanc","Chilensis"
"149","US",89,40,"California","Roblar 2013 Gold Collection Pinot Noir (Sta. Rita Hills)","Pinot Noir","Roblar"
"150","Italy",88,15,"Tuscany","Santa Lucia 2012 A Luciano  (Morellino di Scansano)","Red Blend","Santa Lucia"
"151","France",88,13,"Bordeaux","Michel Lynch 2014  Bordeaux Blanc","Bordeaux-style White Blend","Michel Lynch"
"152","Austria",89,18,"Vienna","Wieninger 2009 Vienna Hills Grüner Veltliner (Vienna)","Grüner Veltliner","Wieninger"
"153","US",93,40,"California","Johndrow Vineyards 2007 Reserve Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Johndrow Vineyards"
"154","France",89,28,"France Other","Château d'Aydie 2011 Maydie Vintage Tannat (Vin de Liqueur)","Tannat","Château d'Aydie"
"155","US",85,59,"California","Michael David 2009 Lust Zinfandel (Lodi)","Zinfandel","Michael David"
"156","US",88,27,"California","Iron Horse 2012 Unoaked Chardonnay (Green Valley)","Chardonnay","Iron Horse"
"157","US",89,19,"California","Navarro 2013 Chardonnay (Mendocino)","Chardonnay","Navarro"
"158","Portugal",87,10,"Alentejano","Herdade de São Miguel 2013 Ciconia Branco White (Alentejano)","Portuguese White","Herdade de São Miguel"
"159","US",85,18,"New York","Tousey 2014 Riesling (Hudson River Region)","Riesling","Tousey"
"160","US",90,16,"California","Noceto 2010 Frivolo Moscato (California)","Moscato","Noceto"
"161","US",82,23,"California","Russian Ridge 2011 Merlot (Santa Clara Valley)","Merlot","Russian Ridge"
"162","Italy",90,45,"Tuscany","Bibi Graetz 2009 Testamatta Soffocone di Vincigliata Red (Toscana)","Red Blend","Bibi Graetz"
"163","US",88,12,"California","Mirassou 2015 Pinot Grigio (California)","Pinot Grigio","Mirassou"
"164","US",83,30,"California","Stone Edge Farm 2007 Surround Cabernet Sauvignon (Sonoma Valley)","Cabernet Sauvignon","Stone Edge Farm"
"165","US",90,40,"California","Magic Door 2012 Cabernet Sauvignon (Rutherford)","Cabernet Sauvignon","Magic Door"
"166","Italy",87,14,"Sicily & Sardinia","Caruso & Minini 2010 Terre di Giumara Inzolia (Sicilia)","Inzolia","Caruso & Minini"
"167","US",90,30,"Michigan","Bel Lago 2012 North Vineyard Pinot Noir (Leelanau Peninsula)","Pinot Noir","Bel Lago"
"168","US",84,25,"California","Crossbarn by Paul Hobbs 2009 Chardonnay (Sonoma Coast)","Chardonnay","Crossbarn by Paul Hobbs"
"169","US",92,36,"Oregon","JM Cellars 2011 Margaret's Vineyard Estate Red (Walla Walla Valley (OR))","Bordeaux-style Red Blend","JM Cellars"
"170","France",87,20,"Alsace","Wunsch & Mann 2009 Brut Sparkling (Crémant d'Alsace)","Sparkling Blend","Wunsch & Mann"
"171","France",90,26,"Bordeaux","Château Liversan 2012  Haut-Médoc","Bordeaux-style Red Blend","Château Liversan"
"172","US",94,45,"Washington","Gramercy 2009 The Third Man Red Red (Columbia Valley (WA))","Rhône-style Red Blend","Gramercy"
"173","US",93,50,"California","Gary Farrell 2005 Starr Ridge Vineyard Dijon Clones Pinot Noir (Russian River Valley)","Pinot Noir","Gary Farrell"
"174","Argentina",87,17,"Other","Verum 2012 Chardonnay (Alto Valle del Río Negro)","Chardonnay","Verum"
"175","US",83,35,"California","Mounts 2010 Estate Grown Malbec (Dry Creek Valley)","Malbec","Mounts"
"176","Italy",87,22,"Tuscany","Fattoi 2010  Rosso di Montalcino","Sangiovese Grosso","Fattoi"
"177","US",88,25,"California","Bjornstad 2007 Chardonnay (Sonoma County)","Chardonnay","Bjornstad"
"178","US",85,35,"California","Ancient Oak Cellars 2007 Siebert Ranch Pinot Noir (Russian River Valley)","Pinot Noir","Ancient Oak Cellars"
"179","US",83,39,"California","Kasuari 2010 Syrah (Napa Valley)","Syrah","Kasuari"
"180","France",91,NA,"Southwest France","Paul Bertrand 2011 Crocus Malbec (Cahors)","Malbec","Paul Bertrand"
"181","Portugal",92,40,"Dão","Quinta do Perdigão 2009 Red (Dão)","Portuguese Red","Quinta do Perdigão"
"182","US",86,8,"Washington","Snoqualmie 2015 Winemaker's Select Riesling (Columbia Valley (WA))","Riesling","Snoqualmie"
"183","Italy",88,20,"Northeastern Italy","Ronco Blanchis 2013 White (Collio)","White Blend","Ronco Blanchis"
"184","US",84,36,"California","Midnight 2011 Merlot (Paso Robles)","Merlot","Midnight"
"185","US",88,29,"California","Terra d'Oro 2006 SHR Field Blend Zinfandel (Amador County)","Zinfandel","Terra d'Oro"
"186","US",88,25,"California","Naggiar 2010 Estate Cabernet Franc (Sierra Foothills)","Cabernet Franc","Naggiar"
"187","US",87,20,"California","J Wilkes 2013 Chardonnay (Santa Maria Valley)","Chardonnay","J Wilkes"
"188","US",91,25,"Oregon","Vinum Ferus 2015 On Skin Rosé of Pinot Noir (Willamette Valley)","Pinot Noir","Vinum Ferus"
"189","US",94,120,"California","Schramsberg 2008 J. Schram Sparkling (North Coast)","Sparkling Blend","Schramsberg"
"190","France",90,40,"Bordeaux","Château Gauthier 2014  Blaye Côtes de Bordeaux","Bordeaux-style Red Blend","Château Gauthier"
"191","US",95,28,"California","Carlisle 2013 The Derivative White (Sonoma County)","White Blend","Carlisle"
"192","Italy",86,NA,"Tuscany","Gualandi 2004 Querciaviglia Red (Toscana)","Red Blend","Gualandi"
"193","France",89,15,"Alsace","Cave de Cleebourg NV Clérostein Auxerrois (Alsace)","Auxerrois","Cave de Cleebourg"
"194","France",91,NA,"Burgundy","Mommessin 2014 Deux Terroirs Grande Exception  (Pouilly-Fuissé)","Chardonnay","Mommessin"
"195","US",86,25,"Oregon","Zimri Cellars 2010 Pinot Noir (Willamette Valley)","Pinot Noir","Zimri Cellars"
"196","Italy",88,36,"Tuscany","Panizzi 2012 Riserva  (Vernaccia di San Gimignano)","Vernaccia","Panizzi"
"197","Italy",87,19,"Central Italy","Angeli di Varano 2012 Primo di Tre  (Rosso Conero)","Montepulciano","Angeli di Varano"
"198","Italy",88,25,"Tuscany","Villa di Geggiano 2011  Chianti Classico","Red Blend","Villa di Geggiano"
"199","US",88,20,"New York","Thirsty Owl Wine Company 2012 Merlot (Finger Lakes)","Merlot","Thirsty Owl Wine Company"
"200","South Africa",84,9,"South Africa","Fat Barrel 2015 Bob's Chenin Blanc (South Africa)","Chenin Blanc","Fat Barrel"
"201","Spain",85,NA,"Catalonia","Codorníu NV Reserva Cuvée Barcelona 1872 Sparkling (Cava)","Sparkling Blend","Codorníu"
"202","Portugal",86,10,"Alentejano","J. Portugal Ramos 2008 Vila Santa White (Alentejano)","Portuguese White","J. Portugal Ramos"
"203","US",85,16,"Virginia","The Williamsburg Winery 2015 A Midsummer Night's White White (Virginia)","White Blend","The Williamsburg Winery"
"204","Argentina",80,5,"Mendoza Province","Toca Diamonte 2010 Malbec (Mendoza)","Malbec","Toca Diamonte"
"205","France",86,22,"Loire Valley","Pascal Jolivet 2000 Clos Du Roy  (Sancerre)","Sauvignon Blanc","Pascal Jolivet"
"206","Italy",97,60,"Sicily & Sardinia","Passopisciaro 2013 Contrada R Nerello Mascalese (Terre Siciliane)","Nerello Mascalese","Passopisciaro"
"207","Australia",94,65,"South Australia","Henschke 2013 Keyneton Euphonium Red (Barossa)","Red Blend","Henschke"
"208","Italy",85,35,"Central Italy","Garofoli 2008 Grosso Argontano  (Rosso Conero)","Montepulciano","Garofoli"
"209","Portugal",91,33,"Alentejano","Herdade Paço do Conde 2010 Colheita Seleccionada Red (Alentejano)","Portuguese Red","Herdade Paço do Conde"
"210","France",88,18,"Provence","Château d'Ollières 2016 Rosé (Coteaux Varois en Provence)","Rosé","Château d'Ollières"
"211","France",94,NA,"Bordeaux","Château Léoville Poyferré 2013  Saint-Julien","Bordeaux-style Red Blend","Château Léoville Poyferré"
"212","US",88,14,"California","Bonterra 2010 Chardonnay (Mendocino County)","Chardonnay","Bonterra"
"213","US",88,40,"California","Windstream 2013 Sarmento Vineyard Pinot Noir (Santa Lucia Highlands)","Pinot Noir","Windstream"
"214","Spain",89,30,"Northern Spain","Tamaral 2011 Reserva  (Ribera del Duero)","Tempranillo","Tamaral"
"215","US",91,35,"California","Mounts 2007 Estate Grown Cabernet Sauvignon (Dry Creek Valley)","Cabernet Sauvignon","Mounts"
"216","France",91,30,"Provence","Château Minuty 2015 Minuty Prestige Rosé (Côtes de Provence)","Rosé","Château Minuty"
"217","France",92,30,"Southwest France","Mas des Etoiles 2012 Malbec (Cahors)","Malbec","Mas des Etoiles"
"218","Italy",88,50,"Veneto","Zeni 2011  Amarone della Valpolicella","Red Blend","Zeni"
"219","US",88,30,"Washington","Tagaris 2005 Red Roan Red Wine Red (Columbia Valley (WA))","Red Blend","Tagaris"
"220","US",89,32,"Washington","Stevens 2014 StevensMerlot Merlot (Yakima Valley)","Merlot","Stevens"
"221","US",92,65,"California","FEL 2013 Donnelly Creek Vineyard Pinot Noir (Anderson Valley)","Pinot Noir","FEL"
"222","Spain",88,15,"Northern Spain","Venta Mazzaron 2012 Tempranillo (Vino de la Tierra de Castilla y León)","Tempranillo","Venta Mazzaron"
"223","Italy",87,38,"Central Italy","Drei Donà Tenuta La Palazza 2008 Magnificat Cabernet Sauvignon (Forlì)","Cabernet Sauvignon","Drei Donà Tenuta La Palazza"
"224","France",87,16,"Provence","Les Quatre Tours 2013 Classique Rosé (Coteaux d'Aix-en-Provence)","Rosé","Les Quatre Tours"
