"track_id"	"track_artist"	"track_popularity"	"playlist_genre"	"danceability"	"energy"	"duration_ms"
"18201"	"Juanes"	0	"latin"	0.474	0.847	200227
"5630"	"charlie toØ human"	52	"rap"	0.833	0.336	157279
"30173"	"Ariana Grande"	0	"edm"	0.554	0.867	202440
"22743"	"The Isley Brothers"	59	"r&b"	0.376	0.67	169293
"19426"	"La Secta"	40	"latin"	0.551	0.754	247333
"22658"	"Polito Ibañez"	20	"r&b"	0.69	0.727	196293
"18382"	"Billie Eilish"	83	"latin"	0.67	0.453	194840
"24692"	"SWV"	19	"r&b"	0.623	0.722	312227
"15469"	"Mötley Crüe"	76	"rock"	0.361	0.97	282920
"28294"	"CØDE"	43	"edm"	0.87	0.795	160328
"1673"	"Mayday Parade"	38	"pop"	0.303	0.591	212160
"21595"	"Kali Uchis"	69	"r&b"	0.566	0.666	177727
"17571"	"The Sacados"	5	"latin"	0.659	0.843	219454
"16542"	"Cornpop"	50	"latin"	0.725	0.823	207615
"22305"	"Jay Rock"	33	"r&b"	0.647	0.75	221309
"23103"	"Coopex"	30	"r&b"	0.482	0.667	182571
"24897"	"Karyn White"	38	"r&b"	0.733	0.689	337400
"11206"	"Quality Control"	66	"rap"	0.868	0.661	176911
"7968"	NA	NA	"0"	NA	NA	NA
"30708"	"Nick Jonas"	65	"edm"	0.7	0.701	223107
"29295"	"Bassjackers"	1	"edm"	0.644	0.819	184697
"31765"	"KSHMR"	60	"edm"	0.591	0.835	189375
"17556"	"Luis Fonsi"	62	"latin"	0.642	0.639	221520
"29236"	"Joules"	27	"edm"	0.549	0.67	263703
"1025"	"Lucky Kilimanjaro"	41	"pop"	0.653	0.742	181589
"1604"	"Bastille"	70	"pop"	0.679	0.715	214148
"12589"	"The Rolling Stones"	75	"rock"	0.634	0.63	270773
"3403"	"The Bolshoi"	1	"pop"	0.602	0.89	393667
"19143"	"Sammy & Falsetto"	58	"latin"	0.627	0.798	208118
"3735"	"Sam Feldt"	9	"pop"	0.731	0.727	160009
"13081"	"The Who"	2	"rock"	0.711	0.853	513440
"23282"	"Anne-Marie"	83	"r&b"	0.697	0.683	186987
"20471"	"Rihanna"	36	"latin"	0.671	0.314	191600
"31692"	"Cassius"	36	"edm"	0.724	0.762	238080
"18946"	"Daddy Yankee"	6	"latin"	0.685	0.859	204520
"13926"	"Big Star"	32	"rock"	0.34	0.0928	228293
"17277"	"Spada"	3	"latin"	0.755	0.772	167394
"21074"	"Mr. President"	18	"latin"	0.832	0.838	218733
"27705"	"DubVision"	8	"edm"	0.685	0.909	170945
"17873"	"Bad Bunny"	90	"latin"	0.61	0.624	250534
"2566"	"Robin Schulz"	76	"pop"	0.636	0.815	219043
"28927"	"Rushin'"	36	"edm"	0.872	0.752	243752
"4332"	"Tinley"	26	"pop"	0.542	0.169	195092
"12337"	"Lynyrd Skynyrd"	27	"rock"	0.597	0.605	281147
"28842"	"Starley"	27	"edm"	0.649	0.821	203968
"6206"	"Tory Lanez"	6	"rap"	0.558	0.521	236893
"14545"	"Gorillaz"	80	"rock"	0.818	0.705	222640
"28661"	"Zara Larsson"	70	"edm"	0.675	0.931	176616
"18735"	"Andrea Consoli"	42	"latin"	0.589	0.584	130200
"7755"	"Wale"	0	"rap"	0.889	0.534	176504
"28579"	"David Guetta"	76	"edm"	0.647	0.795	192402
"15942"	"Bad English"	64	"rock"	0.495	0.609	257440
"9868"	"Kamiyada+"	0	"rap"	0.476	0.781	123661
"14990"	"Motörhead"	74	"rock"	0.317	0.981	165907
"14141"	"Nirvana"	58	"rock"	0.325	0.929	223880
"25580"	"Amandla Stenberg"	43	"r&b"	0.542	0.357	144933
"7857"	"Eric B. & Rakim"	48	"rap"	0.854	0.706	232760
"32290"	"Morgan Page"	31	"edm"	0.622	0.633	189544
"27935"	"PAX"	31	"edm"	0.773	0.754	113763
"1807"	"Kesha"	15	"pop"	0.711	0.7	211920
"22676"	"T. Rex"	36	"r&b"	0.251	0.917	149707
"833"	"Pet Shop Boys"	63	"pop"	0.535	0.951	304080
"27173"	"Jay Hill"	26	"edm"	0.657	0.62	412812
"8360"	"Gunna"	5	"rap"	0.824	0.554	166298
"6179"	"Logic"	64	"rap"	0.807	0.693	218280
"27154"	"Bildjan"	38	"edm"	0.586	0.84	166478
"9093"	"Beastie Boys"	24	"rap"	0.854	0.667	245707
"20821"	"Murda"	53	"latin"	0.912	0.654	170797
"18672"	"Melleefresh"	24	"latin"	0.801	0.613	310161
"16203"	"TOOL"	68	"rock"	0.567	0.714	403533
"26623"	"Jamie Woon"	0	"r&b"	0.855	0.583	207422
"14023"	"Sublime"	61	"rock"	0.761	0.687	173427
"24029"	"Bobby Brown"	47	"r&b"	0.758	0.596	288800
"28188"	"Tetengo"	17	"edm"	0.614	0.836	192756
"23822"	"Matt Terry"	65	"r&b"	0.876	0.649	203680
"15602"	"The Rolling Stones"	3	"rock"	0.658	0.675	377760
"9220"	"N.W.A."	57	"rap"	0.85	0.837	343373
"24726"	"Blackstreet"	0	"r&b"	0.847	0.598	245400
"16010"	"Uriah Heep"	0	"rock"	0.438	0.518	178093
"6663"	"Jamule"	76	"rap"	0.685	0.494	152927
"1536"	"Astrid S"	70	"pop"	0.598	0.502	198391
"30740"	"William Black"	3	"edm"	0.58	0.837	225306
"24890"	"Montel Jordan"	0	"r&b"	0.529	0.988	246400
"7761"	"Brodinski"	8	"rap"	0.861	0.582	201297
"17766"	"Ana Guerra"	57	"latin"	0.605	0.813	214592
"27418"	"Wolfgang Lohr"	42	"edm"	0.848	0.823	167360
"18720"	"Marcus Muscogee"	24	"latin"	0.646	0.695	226000
"26173"	"Summers Sons"	31	"r&b"	0.636	0.48	250360
"6187"	"Russ"	70	"rap"	0.737	0.429	185400
"2002"	"Frawley"	33	"pop"	0.672	0.68	201467
"5599"	"Moods"	57	"rap"	0.554	0.418	189250
"22424"	"Jorja Smith"	57	"r&b"	0.485	0.458	275618
"24188"	"Aaron Hall"	46	"r&b"	0.713	0.754	381733
"4321"	"Berry Juice"	36	"pop"	0.668	0.632	278533
"13247"	"Peter Gabriel"	60	"rock"	0.683	0.63	261440
"19186"	"Daddy Yankee"	59	"latin"	0.831	0.742	195800
"3721"	"Seinabo Sey"	5	"pop"	0.687	0.471	351579
"28016"	"MOTi"	0	"edm"	0.755	0.9	297187
"16246"	"Mac Beez"	50	"latin"	0.765	0.751	212910
"19518"	"El Freaky"	53	"latin"	0.683	0.91	218707
"10765"	"FEARSTbeats"	35	"rap"	0.52	0.901	196586
"4031"	"Louis The Child"	51	"pop"	0.837	0.492	245581
"27583"	"Wave Wave"	29	"edm"	0.56	0.588	186885
"27193"	"Kramder"	31	"edm"	0.623	0.929	218880
"11589"	"The Outfield"	70	"rock"	0.555	0.757	221840
"26754"	"Chris Stapleton"	66	"r&b"	0.559	0.301	244333
"30444"	"Kyzer"	28	"edm"	0.856	0.517	211866
"25367"	"Tierra Whack"	67	"r&b"	0.826	0.365	239324
"28292"	"Ilkay Sencan"	54	"edm"	0.732	0.8	182908
"31066"	"SEREBRO"	0	"edm"	0.92	0.811	192857
"17707"	"tha Supreme"	79	"latin"	0.655	0.814	161266
"18927"	"Wolfine"	60	"latin"	0.831	0.89	167288
"15385"	"The Knack"	73	"rock"	0.586	0.7	295400
"13888"	"The Prodigy"	66	"rock"	0.679	0.822	334800
"32354"	"Martin Garrix"	5	"edm"	0.675	0.868	304229
"4541"	"Gavin DeGraw"	51	"pop"	0.617	0.615	218631
"3462"	"Lloyd Cole and the Commotions"	32	"pop"	0.739	0.594	235893
"29488"	"Sander van Doorn"	34	"edm"	0.581	0.944	172500
"15224"	"Alex McArtor"	43	"rock"	0.609	0.577	180821
"23082"	"Rihanna"	77	"r&b"	0.725	0.534	219320
"14592"	"Bombay Bicycle Club"	45	"rock"	0.648	0.701	249760
"9829"	"Bill $Aber"	23	"rap"	0.621	0.791	159012
"12912"	"Robbers"	29	"rock"	0.557	0.641	237857
"2287"	"Teen Beach Movie Cast"	39	"pop"	0.369	0.96	151893
"24338"	"Johnny Gill"	12	"r&b"	0.576	0.97	340027
"31287"	"SG Lewis"	8	"edm"	0.555	0.62	216765
"19005"	"Mariah"	72	"latin"	0.788	0.701	210360
"21141"	"Violadores Del Verso"	49	"latin"	0.885	0.877	259920
"12901"	"Deep Purple"	44	"rock"	0.608	0.688	334240
"22666"	"The Lebron Brothers Orchestra"	0	"r&b"	0.475	0.469	120680
"23492"	"Carolina Chocolate Drops"	45	"r&b"	0.577	0.806	236600
"28386"	"Widemode"	36	"edm"	0.748	0.899	165754
"48"	"Charli XCX"	57	"pop"	0.64	0.838	193861
"27783"	"Marnik"	60	"edm"	0.758	0.746	164893
"14466"	"The Kinks"	66	"rock"	0.512	0.69	194216
"26121"	"John Legend"	30	"r&b"	0.37	0.473	283827
"21624"	"SAYGRACE"	52	"r&b"	0.826	0.616	175884
"25487"	"Mac Ayres"	72	"r&b"	0.722	0.282	314358
"23140"	"Travis Scott"	94	"r&b"	0.598	0.427	175721
"15168"	"Spacebones"	32	"rock"	0.338	0.823	247509
"2602"	"Post Malone"	44	"pop"	0.833	0.539	149520
"26709"	"Donny Hathaway"	50	"r&b"	0.534	0.411	188160
"31844"	"Steve Angello"	0	"edm"	0.659	0.619	306560
"17704"	"Lynn Hayek"	38	"latin"	0.569	0.865	187380
"5778"	"Prabh Deep"	46	"rap"	0.772	0.664	272747
"14601"	"Stefano Casavecchia"	12	"rock"	0.516	0.938	270000
"8789"	"Ice Cube"	51	"rap"	0.741	0.849	226520
"15712"	"Five Finger Death Punch"	56	"rock"	0.535	0.986	178100
"13907"	"The Brian Jonestown Massacre"	62	"rock"	0.527	0.636	334467
"20760"	"Ozuna"	64	"latin"	0.768	0.821	244293
"29502"	"Showtek"	56	"edm"	0.603	0.899	234928
"22195"	"6LACK"	77	"r&b"	0.61	0.458	240342
"26621"	"Stan Taylor"	38	"r&b"	0.456	0.228	264000
"31351"	"Hilda"	2	"edm"	0.689	0.51	215357
"2336"	"Pharrell Williams"	79	"pop"	0.647	0.822	232720
"28382"	"Kevu"	21	"edm"	0.632	0.947	243750
"21653"	"Swae Lee"	68	"r&b"	0.784	0.416	225037
"2042"	"Tove Lo"	51	"pop"	0.76	0.716	179057
"15288"	"Guns N' Roses"	8	"rock"	0.45	0.904	356000
"21746"	"Jorja Smith"	61	"r&b"	0.653	0.5	314433
"24528"	"En Vogue"	31	"r&b"	0.727	0.528	304373
"19741"	"Post Malone"	98	"latin"	0.695	0.762	215280
"25192"	"Snoh Aalegra"	4	"r&b"	0.707	0.522	213253
"24821"	"Another Bad Creation"	29	"r&b"	0.713	0.792	261957
"25305"	"Jhené Aiko"	76	"r&b"	0.422	0.546	262213
"8509"	"Rick Ross"	42	"rap"	0.759	0.828	233427
"29561"	"TooManyLeftHands"	23	"edm"	0.627	0.876	261563
"1958"	"Twisted Sister"	73	"pop"	0.502	0.924	219667
"20283"	"Bad Bunny"	90	"latin"	0.61	0.624	250534
"10271"	"Bizarrap"	42	"rap"	0.796	0.817	178514
"21127"	"Plastilina Mosh"	43	"latin"	0.651	0.862	219000
"30197"	"Tones and I"	79	"edm"	0.825	0.593	209755
"29299"	"R3HAB"	57	"edm"	0.626	0.961	210000
"14844"	"Laura Cox"	21	"rock"	0.523	0.909	200400
"20724"	"American Authors"	76	"latin"	0.673	0.902	194240
"21131"	"Gordo Sarkasmus"	36	"latin"	0.798	0.6	271549
"9197"	"Pharoahe Monch"	5	"rap"	0.684	0.916	173267
"3632"	"Nirvana"	14	"pop"	0.48	0.875	300827
"25534"	"Jamie Woon"	9	"r&b"	0.853	0.576	207133
"24855"	"Boyz II Men"	71	"r&b"	0.64	0.427	351467
"13922"	"Trouble"	27	"rock"	0.456	0.844	232360
"5026"	"LANY"	3	"pop"	0.613	0.628	211340
"26220"	"blackwave."	40	"r&b"	0.851	0.669	221800
"12491"	"The Guess Who"	53	"rock"	0.538	0.841	231640
"26245"	"Afu-Ra"	44	"r&b"	0.661	0.91	277320
"19213"	"CNCO"	74	"latin"	0.761	0.838	222560
"259"	"Marshmello"	51	"pop"	0.712	0.646	196571
"17534"	"Jesse & Joy"	71	"latin"	0.531	0.834	247640
"2969"	"OutKast"	31	"pop"	0.818	0.799	214600
"8657"	"2Pac"	40	"rap"	0.679	0.755	282800
"16301"	"Seinabo Sey"	66	"latin"	0.69	0.489	351579
"31863"	"Bingo Players"	0	"edm"	0.611	0.909	386279
"9715"	"Delinquent Habits"	50	"rap"	0.725	0.808	254640
"22234"	"Chinx"	36	"r&b"	0.66	0.697	247718
"28696"	"Stoltenhoff"	34	"edm"	0.694	0.991	140322
"29391"	"Nicky Romero"	9	"edm"	0.48	0.974	220707
"13174"	"The Apostles"	27	"rock"	0.668	0.675	191533
"21629"	"Destiny Rogers"	55	"r&b"	0.636	0.587	203082
"23565"	"Yael Naim"	4	"r&b"	0.647	0.299	267226
"24963"	"SWV"	53	"r&b"	0.621	0.583	317360
"2138"	"Ariana Grande"	9	"pop"	0.66	0.805	193920
"24810"	"Changing Faces"	43	"r&b"	0.73	0.731	216546
"294"	"Marshmello"	62	"pop"	0.691	0.924	158095
"20873"	"Bizzey"	45	"latin"	0.806	0.521	198032
"23663"	"Andra"	52	"r&b"	0.687	0.651	182680
"12582"	"Poison"	65	"rock"	0.576	0.974	224867
"25652"	"Jorja Smith"	50	"r&b"	0.491	0.614	274486
"3798"	"Avicii"	74	"pop"	0.584	0.89	199907
"5503"	"Fickle Friends"	35	"pop"	0.768	0.814	197600
"436"	"AATA"	27	"pop"	0.792	0.673	241164
"4998"	"machineheart"	0	"pop"	0.612	0.665	283680
"18191"	"Juanes"	0	"latin"	0.656	0.487	234360
"13570"	"a-ha"	83	"rock"	0.573	0.902	225280
"27738"	"Throttle"	0	"edm"	0.77	0.853	227010
"131"	"Zedd"	79	"pop"	0.69	0.622	210091
"15801"	"Critic City"	36	"rock"	0.306	0.973	215520
"25763"	"Boyz II Men"	56	"r&b"	0.697	0.409	251133
"25506"	"India.Arie"	0	"r&b"	0.793	0.504	249680
"9296"	"Fler"	0	"rap"	0.672	0.525	209342
"4121"	"Youngblood Hawke"	51	"pop"	0.561	0.736	248600
"1459"	"David Archuleta"	70	"pop"	0.57	0.664	213520
"3355"	"Tony Dark Eyes"	19	"pop"	0.534	0.858	213999
"21488"	"Lord Siva"	54	"r&b"	0.644	0.685	157875
"5309"	"Tora"	1	"pop"	0.728	0.489	154403
"7029"	"UGK"	0	"rap"	0.81	0.628	253507
"29087"	"Ummet Ozcan"	0	"edm"	0.622	0.987	347788
"28536"	"Headhunterz"	23	"edm"	0.644	0.768	286314
"197"	"Mike Perry"	64	"pop"	0.653	0.757	204591
"15304"	"Van Halen"	52	"rock"	0.441	0.97	172671
"14803"	"Adelitas Way"	46	"rock"	0.483	0.887	193744
"12678"	"Paul McCartney"	40	"rock"	0.675	0.876	250560
"25418"	"Tertia May"	3	"r&b"	0.649	0.514	164051
"7787"	"Yo Gotti"	0	"rap"	0.707	0.697	221983
"2753"	"Ellie Goulding"	9	"pop"	0.682	0.795	210853
"21239"	"Dan + Shay"	71	"latin"	0.631	0.44	212745
"17119"	"GAMPER & DADONI"	56	"latin"	0.712	0.651	176923
"11571"	"Nu Shooz"	2	"rock"	0.774	0.787	220386
"6010"	"T-Pain"	76	"rap"	0.451	0.55	227960
"5420"	"Apollo LTD"	0	"pop"	0.612	0.822	214990
"23160"	"Ed Sheeran"	85	"r&b"	0.64	0.648	197867
"22619"	"Diego El Cigala"	30	"r&b"	0.599	0.578	241640
"17377"	"Loud Luxury"	79	"latin"	0.752	0.764	163216
"13785"	"The Verve"	61	"rock"	0.433	0.725	261360
"31134"	"Prok & Fitch"	13	"edm"	0.757	0.974	411713
"3242"	"YELLOW MAGIC ORCHESTRA"	16	"pop"	0.619	0.885	220067
"9977"	"Giaime"	63	"rap"	0.762	0.697	147391
"3004"	"Dillon Francis"	64	"pop"	0.674	0.932	212773
"12671"	"Ringo Starr"	37	"rock"	0.652	0.667	191080
"1001"	"The Him"	61	"pop"	0.667	0.824	192821
"10789"	"Promoting Sounds"	59	"rap"	0.64	0.648	164571
"27177"	"MEDUZA"	91	"edm"	0.598	0.526	168387
"7876"	"Compton's Most Wanted"	33	"rap"	0.858	0.657	251867
"12648"	"Sponge Cola"	49	"rock"	0.414	0.525	212693
"981"	"Eddie Thoneick"	35	"pop"	0.648	0.945	302510
"9789"	"Yoky Barrios"	29	"rap"	0.81	0.695	199288
"7199"	"Goodie Mob"	56	"rap"	0.849	0.476	277133
"23124"	"blackbear"	94	"r&b"	0.778	0.559	185093
"20768"	"6ix9ine"	14	"latin"	0.719	0.825	206550
"26394"	"Lianne La Havas"	46	"r&b"	0.616	0.624	269053
"9931"	"Ghostemane"	61	"rap"	0.814	0.74	183937
"29206"	"Jenil"	34	"edm"	0.536	0.876	232510
"22559"	"Anderson .Paak"	52	"r&b"	0.626	0.916	199347
"11167"	"Jennifer Lopez"	59	"rap"	0.877	0.619	222787
"6073"	"E-40"	61	"rap"	0.858	0.484	202720
"21086"	"Pitbull"	38	"latin"	0.811	0.889	184360
"10891"	"Léo Rocatto"	38	"rap"	0.865	0.497	205714
"5311"	"LEISURE"	10	"pop"	0.793	0.468	205602
"12046"	"Kaiser Chiefs"	11	"rock"	0.451	0.939	204200
"30340"	"Dj Guuga"	78	"edm"	0.843	0.925	134769
"23863"	"Maroon 5"	12	"r&b"	0.792	0.612	199849
"19759"	"Nicky Jam"	82	"latin"	0.595	0.807	194892
"12531"	"Steve Miller Band"	64	"rock"	0.695	0.582	187067
"27553"	"Blanke"	53	"edm"	0.34	0.775	225877
"13446"	"Broken Witt Rebels"	38	"rock"	0.523	0.652	225626
"10856"	"st. august"	37	"rap"	0.693	0.784	240187
"29212"	"Beat Dragons"	34	"edm"	0.645	0.76	192197
"4727"	"Joywave"	56	"pop"	0.463	0.786	209227
"28988"	"MACHADO"	17	"edm"	0.696	0.879	227292
"15441"	"Dire Straits"	5	"rock"	0.679	0.676	246840
"15762"	"Billy Talent"	51	"rock"	0.573	0.949	188607
"4981"	"Halsey"	1	"pop"	0.701	0.852	189267
"4377"	"3LAU"	63	"pop"	0.571	0.752	192941
"31143"	"Sunar"	8	"edm"	0.763	0.812	420496
"16280"	"Duke Dumont"	17	"latin"	0.689	0.711	206320
"24851"	"Kenny Lattimore"	51	"r&b"	0.633	0.42	236147
"2291"	"High School Musical Cast"	58	"pop"	0.798	0.904	236400
"22509"	"Dave Hollister"	7	"r&b"	0.72	0.726	242360
"19980"	"Gina Lanze"	10	"latin"	0.702	0.877	230493
"24218"	"Jodeci"	52	"r&b"	0.707	0.5	320360
"6223"	"Post Malone"	72	"rap"	0.797	0.64	170053
"24062"	"Bell Biv DeVoe"	0	"r&b"	0.836	0.613	261627
"30493"	"HyunA"	0	"edm"	0.746	0.917	199210
"28383"	"H2HB"	17	"edm"	0.649	0.977	164481
"1058"	"eill"	28	"pop"	0.703	0.686	225694
"29578"	"Marcus Mouya"	14	"edm"	0.583	0.855	217510
"11268"	"Guns N' Roses"	4	"rock"	0.463	0.943	375307
"3644"	"New Order"	0	"pop"	0.613	0.885	263213
"7345"	"Beyoncé"	55	"rap"	0.589	0.541	184013
"29309"	"Swedish House Mafia"	67	"edm"	0.507	0.665	213338
"23447"	"Noah Cyrus"	66	"r&b"	0.663	0.38	215467
"24657"	"Heavy D & The Boyz"	0	"r&b"	0.781	0.293	271467
"3120"	"updog"	46	"pop"	0.591	0.779	178759
"16714"	"vicrossor"	25	"latin"	0.751	0.253	180521
"19178"	"Luny Tunes"	51	"latin"	0.737	0.646	178934
"6339"	"LOLO"	69	"rap"	0.822	0.586	159723
"24361"	"Joe"	29	"r&b"	0.698	0.515	295440
"31669"	"Casual T"	31	"edm"	0.784	0.662	264318
