"title","distributor","gross","theaters","days","date","top"
"Stealth","Sony Pictures",4797.72,3495,2,2005-07-30,FALSE
"Fantastic Four","20th Century Fox",2812.494,2744,23,2005-07-30,FALSE
"War of the Worlds","Paramount Pictures",2260.836,2324,32,2005-07-30,FALSE
"The Island","Dreamworks SKG",2235.289,3138,9,2005-07-30,FALSE
"The Bad News Bears","Paramount Pictures",2120.184,3183,9,2005-07-30,FALSE
"Hustle & Flow","Paramount Vantage",1637.883,1015,9,2005-07-30,FALSE
"Kingdom of Heaven","20th Century Fox",5.462,33,86,2005-07-30,FALSE
"First Morning","Illuminare",0.35,1,16,2005-07-30,FALSE
"Miami Vice","Universal",7522.29,3021,3,2006-07-30,FALSE
"Pirates of the Caribbean: Dea…","Walt Disney",6251.803,3834,24,2006-07-30,FALSE
"Monster House","Sony Pictures",3570.148,3553,10,2006-07-30,FALSE
"John Tucker Must Die","20th Century Fox",3538.338,2560,3,2006-07-30,FALSE
"The Ant Bully","Warner Bros.",2633.058,3050,3,2006-07-30,FALSE
"Lady in the Water","Warner Bros.",2095.875,3235,10,2006-07-30,FALSE
"You, Me and Dupree","Universal",2072.6,2850,17,2006-07-30,FALSE
"Little Man","Sony Pictures",1528.762,2175,17,2006-07-30,FALSE
"The Devil Wears Prada","20th Century Fox",1360.582,1778,31,2006-07-30,FALSE
"Clerks II","MGM",1295.29,2150,10,2006-07-30,FALSE
"My Super Ex-Girlfriend","20th Century Fox",1242.202,2702,10,2006-07-30,FALSE
"Superman Returns","Warner Bros.",1202.442,2005,33,2006-07-30,FALSE
"Little Miss Sunshine","Fox Searchlight",125.454,7,5,2006-07-30,FALSE
"X-Men: The Last Stand","20th Century Fox",78.494,294,66,2006-07-30,FALSE
"Garfield's A Tail of Two Kitties","20th Century Fox",56.132,290,45,2006-07-30,FALSE
"Ice Age: The Meltdown","20th Century Fox",22.604,136,122,2006-07-30,FALSE
"The Omen","20th Century Fox",11.038,86,55,2006-07-30,FALSE
"Water","Fox Searchlight",9.267,43,94,2006-07-30,FALSE
"Thank You For Smoking","Fox Searchlight",6.467,51,136,2006-07-30,FALSE
"The Simpsons Movie","20th Century Fox",9277.515,3922,4,2007-07-30,FALSE
"I Now Pronounce You Chuck and…","Universal",2643.255,3501,11,2007-07-30,FALSE
"Hairspray","New Line",2505,3121,11,2007-07-30,FALSE
"Harry Potter and the Order of…","Warner Bros.",2438.374,4005,20,2007-07-30,FALSE
"Transformers","Paramount Pictures",1526.592,3349,28,2007-07-30,TRUE
"No Reservations","Warner Bros.",1463.982,2425,4,2007-07-30,FALSE
"Ratatouille","Walt Disney",1064.798,2934,32,2007-07-30,FALSE
"Live Free or Die Hard","20th Century Fox",690.779,2271,34,2007-07-30,FALSE
"I Know Who Killed Me","Sony Pictures",467.646,1320,4,2007-07-30,FALSE
"Who's Your Caddy?","MGM",270.003,1019,4,2007-07-30,FALSE
"Rescue Dawn","MGM",192.056,500,27,2007-07-30,FALSE
"License to Wed","Warner Bros.",178.349,1610,28,2007-07-30,FALSE
"Sunshine","Fox Searchlight",168.741,461,11,2007-07-30,FALSE
"Shrek the Third","Paramount Pictures",91.807,455,74,2007-07-30,TRUE
"Fantastic Four: Rise of the S…","20th Century Fox",60.306,390,46,2007-07-30,FALSE
"Once","Fox Searchlight",43.198,131,76,2007-07-30,FALSE
"Waitress","Fox Searchlight",17.183,125,90,2007-07-30,FALSE
"Disturbia","Paramount Pictures",13.942,155,109,2007-07-30,FALSE
"A Mighty Heart","Paramount Vantage",4.987,61,39,2007-07-30,FALSE
"Arctic Tale","Paramount Vantage",2.538,4,6,2007-07-30,FALSE
"Joshua","Fox Searchlight",0.334,4,25,2007-07-30,FALSE
"The Dark Knight","Warner Bros.",8755.141,4366,13,2008-07-30,TRUE
"Step Brothers","Sony Pictures",3631.324,3094,6,2008-07-30,FALSE
"Mamma Mia!","Universal",3199.3,2990,13,2008-07-30,FALSE
"Journey to the Center of the …","Warner Bros.",1458.124,2688,20,2008-07-30,FALSE
"WALL-E","Walt Disney",1067.443,3044,34,2008-07-30,FALSE
"Hancock","Sony Pictures",1052.314,3309,29,2008-07-30,FALSE
"The X-Files: I Want to Believe","20th Century Fox",838.837,3185,6,2008-07-30,FALSE
"Space Chimps","20th Century Fox",819.533,2538,13,2008-07-30,FALSE
"Hellboy 2: The Golden Army","Universal",648.87,3018,20,2008-07-30,FALSE
"Wanted","Universal",358.75,1754,34,2008-07-30,FALSE
"Get Smart","Warner Bros.",328.532,1420,41,2008-07-30,FALSE
"Kung Fu Panda","Paramount Pictures",250.579,917,55,2008-07-30,FALSE
"Indiana Jones and the Kingdom…","Paramount Pictures",85.435,477,70,2008-07-30,FALSE
"Sex and the City","Warner Bros.",83.559,347,62,2008-07-30,FALSE
"The Incredible Hulk","Universal",68.45,403,48,2008-07-30,FALSE
"Meet Dave","20th Century Fox",58.541,488,20,2008-07-30,FALSE
"Brideshead Revisited","Miramax",49.598,33,*,2008-07-30,FALSE
"Iron Man","Paramount Pictures",46.229,274,90,2008-07-30,TRUE
"What Happens in Vegas...","20th Century Fox",29.114,243,83,2008-07-30,FALSE
"The Happening","20th Century Fox",18.426,211,48,2008-07-30,FALSE
"The Visitor","Overture Films",16.013,106,111,2008-07-30,FALSE
"Speed Racer","Warner Bros.",11.522,128,83,2008-07-30,FALSE
"Horton Hears a Who","20th Century Fox",10.955,92,139,2008-07-30,FALSE
"Nim's Island","20th Century Fox",8.861,74,118,2008-07-30,FALSE
"American Teen","Paramount Vantage",7.694,5,6,2008-07-30,FALSE
"The Love Guru","Paramount Pictures",5.418,107,41,2008-07-30,FALSE
"Young @ Heart","Fox Searchlight",4.048,40,113,2008-07-30,FALSE
"Son of Rambow: A Home Movie","Paramount Vantage",3.263,64,90,2008-07-30,FALSE
"The Foot Fist Way","Paramount Vantage",0.409,6,62,2008-07-30,FALSE
"G-Force","Walt Disney",4003.224,3697,7,2009-07-30,FALSE
"Harry Potter and the Half-Blo…","Warner Bros.",3842.107,4455,16,2009-07-30,FALSE
"The Ugly Truth","Sony Pictures",3027.219,2882,7,2009-07-30,FALSE
"Orphan","Warner Bros.",1510.126,2750,7,2009-07-30,FALSE
"Ice Age: Dawn of the Dinosaurs","20th Century Fox",1201.48,3300,30,2009-07-30,FALSE
"The Proposal","Walt Disney",1012.057,2779,42,2009-07-30,FALSE
"Transformers: Revenge of the …","Paramount Pictures",959.667,3237,37,2009-07-30,FALSE
"The Hangover","Warner Bros.",888.214,2285,56,2009-07-30,FALSE
"Public Enemies","Universal",560.885,2291,30,2009-07-30,FALSE
"Brüno","Universal",331.625,1895,21,2009-07-30,FALSE
"Up","Walt Disney",299.671,1070,63,2009-07-30,TRUE
"(500) Days of Summer","Fox Searchlight",259.631,85,14,2009-07-30,FALSE
"My Sister's Keeper","Warner Bros.",251.377,1258,35,2009-07-30,FALSE
"The Hurt Locker","Summit Entertai…",198.368,238,35,2009-07-30,FALSE
"I Love You, Beth Cooper","20th Century Fox",129.384,730,21,2009-07-30,FALSE
"Night at the Museum: Battle o…","20th Century Fox",111.422,396,70,2009-07-30,FALSE
"Under the Sea 3D","Warner Bros.",99.2,40,168,2009-07-30,FALSE
"Star Trek","Paramount Pictures",78.962,307,84,2009-07-30,FALSE
"Away We Go","Focus Features",44.056,206,56,2009-07-30,FALSE
"Imagine That","Paramount Pictures",35.2,221,49,2009-07-30,FALSE
"Land of the Lost","Universal",34.02,243,56,2009-07-30,FALSE
"Monsters vs. Aliens","Paramount Pictures",32.108,210,126,2009-07-30,FALSE
"Ghosts of Girlfriends Past","Warner Bros.",22.604,145,91,2009-07-30,FALSE
"X-Men Origins: Wolverine","20th Century Fox",21.926,181,91,2009-07-30,FALSE
"Terminator Salvation","Warner Bros.",19.414,148,71,2009-07-30,FALSE
"Drag Me To Hell","Universal",15.695,150,63,2009-07-30,FALSE
"Adam","Fox Searchlight",13.132,4,2,2009-07-30,FALSE
"17 Again","Warner Bros.",9.548,76,105,2009-07-30,FALSE
"The Stoning of Soraya M.","Roadside Attrac…",7.5,30,35,2009-07-30,FALSE
"The Brothers Bloom","Summit Entertai…",5.77,49,77,2009-07-30,FALSE
"My Life in Ruins","Fox Searchlight",5.275,46,56,2009-07-30,FALSE
"Shrink","Roadside Attrac…",1.869,2,7,2009-07-30,FALSE
"Goodbye Solo","Roadside Attrac…",0.524,12,126,2009-07-30,FALSE
"Battle for Terra","Roadside Attrac…",0.03,1,91,2009-07-30,FALSE
"The Golden Boys","Roadside Attrac…",0.012,1,105,2009-07-30,FALSE
"Dinner for Schmucks","Paramount Pictures",8395.042,2911,1,2010-07-30,FALSE
"Inception","Warner Bros.",8194.228,3545,15,2010-07-30,TRUE
"Salt","Sony Pictures",5874.736,3612,8,2010-07-30,FALSE
"Charlie St. Cloud","Universal",5626.995,2718,1,2010-07-30,FALSE
"Despicable Me","Universal",4700.61,3602,22,2010-07-30,FALSE
"Cats & Dogs: The Revenge of K…","Warner Bros.",4218.673,3705,1,2010-07-30,FALSE
"Toy Story 3","Walt Disney",1452.176,2105,43,2010-07-30,TRUE
"Grown Ups","Sony Pictures",1410.081,2269,36,2010-07-30,FALSE
"The Sorcerer's Apprentice","Walt Disney",1301.493,2524,17,2010-07-30,FALSE
"The Twilight Saga: Eclipse","Summit Entertai…",1281.786,2334,31,2010-07-30,TRUE
"Ramona and Beezus","20th Century Fox",1273.407,2719,8,2010-07-30,FALSE
"The Kids Are All Right","Focus Features",969.498,847,22,2010-07-30,FALSE
"The Last Airbender","Paramount Pictures",509.23,1238,30,2010-07-30,FALSE
"Predators","20th Century Fox",321.175,873,22,2010-07-30,FALSE
"Knight and Day","20th Century Fox",225.752,831,38,2010-07-30,FALSE
"Shrek Forever After","Paramount Pictures",173.478,330,71,2010-07-30,FALSE
"The Karate Kid","Sony Pictures",163.071,461,50,2010-07-30,FALSE
"Hubble 3D","Warner Bros.",107.531,53,134,2010-07-30,FALSE
"Iron Man 2","Paramount Pictures",91.35,286,85,2010-07-30,TRUE
"Winter's Bone","Roadside Attrac…",82.242,139,50,2010-07-30,FALSE
"The A-Team","20th Century Fox",81.18,282,50,2010-07-30,FALSE
"Cyrus","Fox Searchlight",59.787,216,43,2010-07-30,FALSE
"Marmaduke","20th Century Fox",50.171,230,57,2010-07-30,FALSE
"Killers","Lionsgate",47.166,219,57,2010-07-30,FALSE
"Letters to Juliet","Summit Entertai…",37.04,173,78,2010-07-30,FALSE
"Get Him to the Greek","Universal",36.425,155,57,2010-07-30,FALSE
"Robin Hood","Universal",24.725,115,78,2010-07-30,FALSE
"Under the Sea 3D","Warner Bros.",23.757,13,533,2010-07-30,FALSE
"Date Night","20th Century Fox",19.198,76,113,2010-07-30,FALSE
"Grease","Paramount Pictures",14.153,33,11733,2010-07-30,FALSE
"Solitary Man","Anchor Bay Ente…",13.854,63,71,2010-07-30,FALSE
"Jonah Hex","Warner Bros.",10.12,83,43,2010-07-30,FALSE
"Sex and the City 2","Warner Bros.",8.13,42,65,2010-07-30,FALSE
"The Concert","Weinstein Co.",4.934,2,8,2010-07-30,FALSE
"Avatar","20th Century Fox",4.046,2,225,2010-07-30,TRUE
"City Island","Anchor Bay Ente…",1.898,15,134,2010-07-30,FALSE
"The Dry Land","Freestyle Relea…",1.723,5,1,2010-07-30,FALSE
"Splice","Warner Bros.",1.501,14,57,2010-07-30,FALSE
"I Hate Luv Storys","UTV Communications",0.62,5,29,2010-07-30,FALSE
"Udaan","UTV Communications",0.584,2,15,2010-07-30,FALSE
"Princess Kaiulani","Roadside Attrac…",0.096,2,78,2010-07-30,FALSE
"Cowboys and Aliens","Universal",13181.25,3750,2,2011-07-30,FALSE
"The Smurfs","Sony Pictures",12610.312,3395,2,2011-07-30,FALSE
"Captain America: The First Av…","Paramount Pictures",9939.604,3715,9,2011-07-30,FALSE
"Harry Potter and the Deathly …","Warner Bros.",8457.011,4145,16,2011-07-30,FALSE
"Crazy, Stupid, Love","Warner Bros.",7073.82,3020,2,2011-07-30,FALSE
"Friends with Benefits","Sony Pictures",3435.571,2926,9,2011-07-30,FALSE
"Horrible Bosses","Warner Bros.",2821.279,2510,23,2011-07-30,FALSE
"Transformers: Dark of the Moon","Paramount Pictures",2466.784,2604,32,2011-07-30,TRUE
"Zookeeper","Sony Pictures",1702.417,2418,23,2011-07-30,FALSE
"Cars 2","Walt Disney",919.506,1763,37,2011-07-30,FALSE
"Winnie the Pooh","Walt Disney",669.037,1632,16,2011-07-30,FALSE
"Bridesmaids","Universal",341.225,484,79,2011-07-30,FALSE
"Bad Teacher","Sony Pictures",328.791,765,37,2011-07-30,FALSE
"Kung Fu Panda 2","Paramount Pictures",254.841,319,66,2011-07-30,FALSE
"Mr. Popper's Penguins","20th Century Fox",181.505,412,44,2011-07-30,FALSE
"The Hangover Part II","Warner Bros.",156.621,346,66,2011-07-30,FALSE
"Sarah's Key","Weinstein Co.",155.49,33,9,2011-07-30,FALSE
"The Tree of Life","Fox Searchlight",133.435,196,65,2011-07-30,FALSE
"Super 8","Paramount Pictures",124.451,325,51,2011-07-30,FALSE
"X-Men: First Class","20th Century Fox",114.084,254,58,2011-07-30,FALSE
"Larry Crowne","Universal",112.125,335,30,2011-07-30,FALSE
"Beginners","Focus Features",101.592,147,58,2011-07-30,FALSE
"Born to be Wild 3D","Warner Bros.",82.25,49,114,2011-07-30,FALSE
"Thor","Paramount Pictures",79.5,190,86,2011-07-30,FALSE
"Snow Flower and the Secret Fan","Fox Searchlight",74.767,93,16,2011-07-30,FALSE
"Rio","20th Century Fox",70.412,174,107,2011-07-30,FALSE
"Green Lantern","Warner Bros.",67.994,135,44,2011-07-30,FALSE
"Fast Five","Universal",54.375,125,93,2011-07-30,FALSE
"Monte Carlo","20th Century Fox",51.014,168,30,2011-07-30,FALSE
"Attack the Block","Sony Pictures",50.114,8,2,2011-07-30,FALSE
"Another Earth","Fox Searchlight",43.42,20,9,2011-07-30,FALSE
"Hubble 3D","Warner Bros.",41.291,27,499,2011-07-30,FALSE
"The Devil's Double","Lionsgate",33.353,5,2,2011-07-30,FALSE
"A Better Life","Summit Entertai…",31.053,108,37,2011-07-30,FALSE
"Judy Moody and the Not Bummer…","Relativity",26.213,161,51,2011-07-30,FALSE
"Singham","Reliance Big Pi…",25.035,39,*,2011-07-30,FALSE
"Project Nim","Roadside Attrac…",13.507,21,23,2011-07-30,FALSE
"The Future","Roadside Attrac…",10.4,1,2,2011-07-30,FALSE
"Water for Elephants","20th Century Fox",9.7,41,100,2011-07-30,FALSE
"A Little Help","Freestyle Relea…",7.933,24,9,2011-07-30,FALSE
"Insidious","FilmDistrict",7.909,41,121,2011-07-30,FALSE
"Delhi Belly","UTV Communications",4.706,7,30,2011-07-30,FALSE
"Turtle: The Incredible Journey","Hannover House",4.533,7,37,2011-07-30,FALSE
"Submarine","Weinstein Co.",3.35,19,58,2011-07-30,FALSE
"Everything Must Go","Roadside Attrac…",1.323,8,79,2011-07-30,FALSE
"The Topp Twins: Untouchable G…","Argot Pictures",0.753,1,79,2011-07-30,FALSE
"Last Mountain The","Dada Films",0.428,2,58,2011-07-30,FALSE
"Daylight","Cinema Purgatorio",0.37,1,16,2011-07-30,FALSE
"Nostalgia for the Light","Icarus Films",0.307,1,135,2011-07-30,FALSE
"The Music Never Stopped","Roadside Attrac…",0.291,2,135,2011-07-30,FALSE
"35 and Ticking","Image Entertain…",0.212,2,72,2011-07-30,FALSE
"The Conspirator","Roadside Attrac…",0.21,3,107,2011-07-30,FALSE
"The Dark Knight Rises","Warner Bros.",8160.046,4404,11,2012-07-30,TRUE
"Ice Age: Continental Drift","20th Century Fox",1843.85,3869,18,2012-07-30,FALSE
"The Watch","20th Century Fox",1588.869,3168,4,2012-07-30,FALSE
"Step Up Revolution","Lionsgate",1473.125,2567,4,2012-07-30,FALSE
"Ted","Universal",1016.925,3129,32,2012-07-30,FALSE
"Brave","Walt Disney",674.352,2551,39,2012-07-30,FALSE
"Magic Mike","Warner Bros.",418.07,2075,32,2012-07-30,FALSE
"Savages","Universal",268.435,1414,25,2012-07-30,FALSE
"Moonrise Kingdom","Focus Features",202.058,853,67,2012-07-30,FALSE
"Tyler Perry's Madea's Witness…","Lionsgate",159.769,1111,32,2012-07-30,FALSE
"Madagascar 3: Europe's Most W…","Paramount Pictures",138.845,808,53,2012-07-30,FALSE
"Beasts of the Southern Wild","Fox Searchlight",114.626,208,34,2012-07-30,FALSE
"Katy Perry: Part of Me","Paramount Pictures",103.918,606,26,2012-07-30,FALSE
"The Hunger Games","Lionsgate",92.672,310,130,2012-07-30,TRUE
"Snow White and the Huntsman","Universal",56.885,355,60,2012-07-30,FALSE
"The Best Exotic Marigold Hotel","Fox Searchlight",47.106,276,88,2012-07-30,FALSE
"To the Arctic 3D","Warner Bros.",45.882,52,102,2012-07-30,FALSE
"Dark Shadows","Warner Bros.",40.266,222,81,2012-07-30,FALSE
"Prometheus","20th Century Fox",31.352,229,53,2012-07-30,FALSE
"Abraham Lincoln: Vampire Hunter","20th Century Fox",24.925,197,39,2012-07-30,FALSE
"Safety Not Guaranteed","FilmDistrict",22.79,149,53,2012-07-30,FALSE
"Rock of Ages","Warner Bros.",21.653,302,46,2012-07-30,FALSE
"Ruby Sparks","Fox Searchlight",15.864,13,6,2012-07-30,FALSE
"Battleship","Universal",13.995,140,74,2012-07-30,FALSE
"Born to be Wild 3D","Warner Bros.",13.399,33,480,2012-07-30,FALSE
"What to Expect When You're Ex…","Lionsgate",11.288,139,74,2012-07-30,FALSE
"The Three Stooges","20th Century Fox",6.81,39,109,2012-07-30,FALSE
"Mirror Mirror","Relativity",3.363,56,123,2012-07-30,FALSE
"The Imposter","Indomina Releasing",1.724,2,18,2012-07-30,FALSE
"The Wolverine","20th Century Fox",5983.708,3924,5,2013-07-30,FALSE
"The Conjuring","Warner Bros.",3009.486,3022,13,2013-07-30,FALSE
"Despicable Me 2","Universal",2728.66,3476,29,2013-07-30,TRUE
"Turbo","20th Century Fox",2157.372,3809,14,2013-07-30,FALSE
"Grown Ups 2","Sony Pictures",1817.6,3258,19,2013-07-30,FALSE
"RED 2","Lionsgate",1307.83,3016,13,2013-07-30,FALSE
"Pacific Rim","Warner Bros.",1238.379,2602,19,2013-07-30,FALSE
"R.I.P.D.","Universal",1111.225,2850,13,2013-07-30,FALSE
"The Heat","20th Century Fox",1000.328,2384,33,2013-07-30,FALSE
"Fruitvale Station","Weinstein Co.",551.161,1064,19,2013-07-30,FALSE
"Monsters University","Walt Disney",514.222,1470,40,2013-07-30,FALSE
"The Way Way Back","Fox Searchlight",460.359,886,26,2013-07-30,FALSE
"World War Z","Paramount Pictures",438.521,1440,40,2013-07-30,FALSE
"The To Do List","CBS Films",259.068,591,5,2013-07-30,FALSE
"The Lone Ranger","Walt Disney",250.846,1267,29,2013-07-30,FALSE
"White House Down","Sony Pictures",143.436,676,33,2013-07-30,FALSE
"Man of Steel","Warner Bros.",122.01,501,47,2013-07-30,TRUE
"This is the End","Sony Pictures",86.727,270,49,2013-07-30,FALSE
"Kevin Hart: Let Me Explain","Lionsgate",85.887,498,28,2013-07-30,FALSE
"Epic","20th Century Fox",64.515,289,68,2013-07-30,FALSE
"Now You See Me","Lionsgate",52.914,215,61,2013-07-30,FALSE
"Fast and Furious 6","Universal",46.755,267,68,2013-07-30,FALSE
"The Great Gatsby","Warner Bros.",46.688,271,82,2013-07-30,FALSE
"Star Trek Into Darkness","Paramount Pictures",38.617,180,75,2013-07-30,FALSE
"The Croods","20th Century Fox",34.748,194,131,2013-07-30,FALSE
"The Internship","20th Century Fox",32.023,197,54,2013-07-30,FALSE
"Girl Most Likely","Roadside Attrac…",25.505,227,12,2013-07-30,FALSE
"The Purge","Universal",17.235,157,54,2013-07-30,FALSE
"Unfinished Song","Weinstein Co.",14.145,82,40,2013-07-30,FALSE
"Much Ado About Nothing","Roadside Attrac…",13.096,77,54,2013-07-30,FALSE
"The Hangover 3","Warner Bros.",11.332,147,69,2013-07-30,FALSE
"Mud","Roadside Attrac…",11.108,73,96,2013-07-30,FALSE
"The Bling Ring","A24",7.11,34,47,2013-07-30,FALSE
"Kon-Tiki","Weinstein Co.",3.551,14,96,2013-07-30,FALSE
