"","country","points","price","province","title","variety","winery"
"19","Italy",93,NA,"Tuscany","Fontodi 2004 Riserva Vigna del Sorbo  (Chianti Classico)","Sangiovese","Fontodi"
"20","France",91,24,"Provence","Château Gassier 2016 Le Pas du Moine Rosé (Côtes de Provence Sainte-Victoire)","Rosé","Château Gassier"
"21","France",90,19,"Beaujolais","Henry Fessy 2012  Morgon","Gamay","Henry Fessy"
"22","Chile",88,17,"Colchagua Valley","Koyle 2012 Gran Reserva Cabernet Sauvignon (Colchagua Valley)","Cabernet Sauvignon","Koyle"
"23","Argentina",87,20,"Mendoza Province","Finca Decero 2008 Remolinos Vineyard Malbec (Agrelo)","Malbec","Finca Decero"
"24","Italy",91,33,"Northeastern Italy","Tramin 2011 Unterebner Pinot Grigio (Alto Adige)","Pinot Grigio","Tramin"
"25","US",87,26,"California","La Honda Winery 2014 Exponent Red (Santa Cruz Mountains)","Red Blend","La Honda Winery"
"26","US",85,20,"Washington","Eight Bells 2011 Red Willow Vineyard Sangiovese (Yakima Valley)","Sangiovese","Eight Bells"
"27","US",88,45,"California","Les Voleurs 2013 Hurst Vineyard Pinot Noir (Sonoma Coast)","Pinot Noir","Les Voleurs"
"28","US",86,25,"Virginia","Fox Meadow 2010 Syrah (Virginia)","Syrah","Fox Meadow"
"29","Argentina",82,6,"Mendoza Province","Funky Llama 2007 Shiraz (Mendoza)","Shiraz","Funky Llama"
"30","US",95,52,"California","Williams Selyem 2013 Pinot Noir (Russian River Valley)","Pinot Noir","Williams Selyem"
"31","France",88,26,"Alsace","Domaine Zinck NV Rosé Sparkling (Crémant d'Alsace)","Sparkling Blend","Domaine Zinck"
"32","US",88,22,"California","Alma Sol 2011 Chardonnay (Santa Maria Valley)","Chardonnay","Alma Sol"
"33","US",92,82,"California","Goldeneye 2012 Gowan Creek Vineyard Pinot Noir (Anderson Valley)","Pinot Noir","Goldeneye"
"34","France",92,37,"Burgundy","Simonnet-Febvre 2006 Montée de Tonnerre Premier Cru  (Chablis)","Chardonnay","Simonnet-Febvre"
"35","US",85,28,"California","Girard 2008 Cabernet Sauvignon (Napa County)","Cabernet Sauvignon","Girard"
"36","US",88,38,"California","Lorenzi Estate 2011 Lopez Ranch Old VIne Zinfandel (Cucamonga Valley)","Zinfandel","Lorenzi Estate"
"37","Italy",86,NA,"Southern Italy","Taverna 2009 Dry Muscat Moscato Giallo (Basilicata)","Moscato Giallo","Taverna"
"38","US",82,30,"California","Paro 2013 Kaufman Sunnyslope Vineyard Pinot Noir (Sonoma Mountain)","Pinot Noir","Paro"
"39","US",91,55,"Oregon","David Hill 2012 Estate BlackJack Pinot Noir (Willamette Valley)","Pinot Noir","David Hill"
"40","Italy",90,NA,"Tuscany","Sant Agnese dei F.lli Gigli 2006 Libatio Red (Toscana)","Red Blend","Sant Agnese dei F.lli Gigli"
"41","US",91,35,"California","Bargetto 2013 Pommard Clone Pinot Noir (Santa Cruz Mountains)","Pinot Noir","Bargetto"
"42","Austria",92,22,"Wagram","Anton Bauer 2014 Rosenberg Grüner Veltliner (Wagram)","Grüner Veltliner","Anton Bauer"
"43","France",90,NA,"Bordeaux","Château La Serre 2011 Barrel Sample  (Saint-Émilion)","Bordeaux-style Red Blend","Château La Serre"
"44","France",86,28,"Burgundy","Pierre Merguey 2014 Vielles Vignes  (Viré-Clessé)","Chardonnay","Pierre Merguey"
"45","US",87,45,"California","Corner 103 2013 Tempranillo (Alexander Valley)","Tempranillo","Corner 103"
"46","US",88,65,"California","Bell 2010 Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Bell"
"47","Italy",89,93,"Piedmont","Ca'Romè 2009 Rapet  (Barolo)","Nebbiolo","Ca'Romè"
"48","France",86,NA,"Bordeaux","Baron Philippe de Rothschild 2015 Mouton Cadet  (Bordeaux Blanc)","Sauvignon Blanc","Baron Philippe de Rothschild"
"49","Austria",90,NA,"Wiener Gemischter Satz","Lenikus 2012 Der Bisamberg White (Wiener Gemischter Satz)","Austrian white blend","Lenikus"
"50","Argentina",85,16,"Mendoza Province","Doña Paula 2010 Estate Malbec (Uco Valley)","Malbec","Doña Paula"
"51","Germany",86,12,"Pfalz","Villa Wolf 2013 Dornfelder (Pfalz)","Dornfelder","Villa Wolf"
"52","US",87,40,"California","Rodney Strong 2007 Reserve Chardonnay (Russian River Valley)","Chardonnay","Rodney Strong"
"53","US",91,35,"Washington","Cadaretta 2008 Syrah (Columbia Valley (WA))","Syrah","Cadaretta"
"54","France",93,NA,"Bordeaux","Château de France 2012  Pessac-Léognan","Bordeaux-style White Blend","Château de France"
"55","France",84,20,"Burgundy","Jean-Marie Challand 2012 Les Tilles  (Mâcon-Villages)","Chardonnay","Jean-Marie Challand"
"56","Austria",90,NA,"Niederösterreich","Schwarzböck 2012 Sätzen-Fürstenberg Grüner Veltliner (Niederösterreich)","Grüner Veltliner","Schwarzböck"
"57","US",92,75,"Oregon","Cayuse 2015 Cailloux Vineyard Viognier (Walla Walla Valley (OR))","Viognier","Cayuse"
"58","Portugal",94,50,"Madeira","Blandy's 2002 Colheita Single Harvest Sercial (Madeira)","Sercial","Blandy's"
"59","US",92,80,"California","Malk 2010 Cabernet Sauvignon (Stags Leap District)","Cabernet Sauvignon","Malk"
"60","Spain",86,10,"Catalonia","Bodegas Concavins 2006 Proyecto Cu4tro Blanco White (Catalunya)","White Blend","Bodegas Concavins"
"61","Chile",90,23,"Colchagua Valley","Montes 2014 Alpha Syrah (Colchagua Valley)","Syrah","Montes"
"62","Australia",92,40,"South Australia","Henry's Drive Vignerons 2006 Parson's Flat Shiraz-Cabernet Sauvignon (Padthaway)","Shiraz-Cabernet Sauvignon","Henry's Drive Vignerons"
"63","Spain",91,29,"Northern Spain","Naia 2008 Naiades Verdejo (Rueda)","Verdejo","Naia"
"64","US",90,19,"California","Byron 2013 Pinot Noir (Santa Barbara County)","Pinot Noir","Byron"
"65","France",89,NA,"Loire Valley","Sauvion 2006 Château du Cléray Réserve Silico Argileux  (Muscadet Sèvre et Maine)","Melon","Sauvion"
"66","South Africa",94,NA,"Franschhoek","Boekenhoutskloof 2015 Cape Winemakers Guild Auction Reserve Cabernet Sauvignon (Franschhoek)","Cabernet Sauvignon","Boekenhoutskloof"
"67","France",89,NA,"Burgundy","La Chablisienne 2010 Les Vénérables  (Chablis)","Chardonnay","La Chablisienne"
"68","France",87,13,"Bordeaux","Château de Bordes-Quancard 2014  Bordeaux","Bordeaux-style Red Blend","Château de Bordes-Quancard"
"69","US",91,60,"California","La Fenêtre 2009 Bien Nacido Vineyard Block Eleven Chardonnay (Santa Maria Valley)","Chardonnay","La Fenêtre"
"70","US",88,11,"Washington","Snoqualmie 2000 Syrah (Columbia Valley (WA))","Syrah","Snoqualmie"
"71","US",90,35,"California","Krutz 2012 Stagecoach Vineyard Syrah (Napa Valley)","Syrah","Krutz"
"72","Australia",88,29,"Western Australia","Leeuwin Estate 2004 Prelude Vineyards Cabernet Merlot (Margaret River)","Cabernet Merlot","Leeuwin Estate"
"73","US",90,24,"California","Bougetz 2012 Sauvignon Blanc (Napa Valley)","Sauvignon Blanc","Bougetz"
"74","Italy",90,40,"Piedmont","Bera 2009 Riserva  (Barbaresco)","Nebbiolo","Bera"
"75","US",91,50,"Washington","Fidelitas 2005 Boushey Vineyard Red Wine Red (Yakima Valley)","Red Blend","Fidelitas"
"76","France",90,NA,"Bordeaux","Château Berliquet 2011 Barrel Sample  (Saint-Émilion)","Bordeaux-style Red Blend","Château Berliquet"
"77","Italy",89,29,"Tuscany","Carpineto 2009 Riserva  (Chianti Classico)","Red Blend","Carpineto"
"78","Portugal",87,12,"Lisboa","Companhia das Quintas 2011 Pancas Branco White (Lisboa)","Portuguese White","Companhia das Quintas"
"79","US",85,24,"California","Schramsberg NV Mirabelle Brut Rosé Sparkling (North Coast)","Sparkling Blend","Schramsberg"
"80","Italy",87,30,"Tuscany","Pepi Lignana 2012 Il Cucchetto  (Maremma Toscana)","Red Blend","Pepi Lignana"
"81","France",91,85,"Champagne","Aubry 2009 Le Nombre d'Or Brut Nature Chardonnay (Champagne)","Chardonnay","Aubry"
"82","US",90,40,"California","Sixteen by Twenty 2014 Chardonnay (Sonoma Coast)","Chardonnay","Sixteen by Twenty"
"83","US",94,65,"Oregon","Domaine Drouhin Oregon 2013 Édition Limitée Chardonnay (Dundee Hills)","Chardonnay","Domaine Drouhin Oregon"
"84","Italy",83,NA,"Veneto","Oggi! 2008 Pinot Grigio (Veneto)","Pinot Grigio","Oggi!"
"85","Israel",91,22,"Galilee","Dalton 2013 Alma Crimson Red (Galilee)","Bordeaux-style Red Blend","Dalton"
"86","Argentina",89,25,"Other","Finca Las Moras 2014 Gran Syrah Syrah (Argentina)","Syrah","Finca Las Moras"
"87","France",93,35,"Burgundy","La Chablisienne 2014 Vaillons Premier Cru  (Chablis)","Chardonnay","La Chablisienne"
"88","Italy",88,60,"Tuscany","Capezzana 2009 Ghiaie della Furba Red (Toscana)","Red Blend","Capezzana"
"89","US",87,28,"Washington","Airfield Estates 2005 Aviator Red Red (Yakima Valley)","Red Blend","Airfield Estates"
"90","Italy",94,40,"Northeastern Italy","Cantina Produttori San Michele Appiano 2012 Sanct Valentin Sauvignon (Alto Adige)","Sauvignon","Cantina Produttori San Michele Appiano"
"91","Italy",89,27,"Northeastern Italy","Vigna Traverso 2011 Ribolla Gialla (Colli Orientali del Friuli)","Ribolla Gialla","Vigna Traverso"
"92","Italy",88,NA,"Tuscany","Casa Emma 2012 Riserva  (Chianti Classico)","Red Blend","Casa Emma"
"93","Argentina",87,22,"Mendoza Province","Revancha 2011 La Primera Malbec (Mendoza)","Malbec","Revancha"
"94","Hungary",93,50,"Tokaji","Béres 2007 Aszú 5 Puttonyos  (Tokaji)","Tokaji","Béres"
"95","Germany",93,45,"Rheingau","Schloss Vollrads 2011 Auslese Riesling (Rheingau)","Riesling","Schloss Vollrads"
"96","US",94,39,"Oregon","DanCin 2012 Melodia Pinot Noir (McMinnville)","Pinot Noir","DanCin"
"97","US",93,60,"California","Chappellet 2013 Signature Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Chappellet"
"98","Italy",87,15,"Central Italy","Umani Ronchi 2005 Jorio  (Montepulciano d'Abruzzo)","Montepulciano","Umani Ronchi"
"99","Portugal",92,20,"Douro","Quinta dos Avidagos 2011 Reserva Red (Douro)","Portuguese Red","Quinta dos Avidagos"
"100","France",90,26,"Alsace","Domaine Weinbach 2013 Réserve Pinot Blanc (Alsace)","Pinot Blanc","Domaine Weinbach"
"101","France",94,45,"Beaujolais","Jean-Michel Dupré 2015 1935 Vieilles Vignes  (Morgon)","Gamay","Jean-Michel Dupré"
"102","US",84,13,"New York","Four Degrees of Riesling 2009 1st Degree Riesling (Seneca Lake)","Riesling","Four Degrees of Riesling"
"103","US",89,39,"California","Napa Smith 2007 Merlot (Napa Valley)","Merlot","Napa Smith"
"104","France",91,25,"Alsace","Cave de Cleebourg 2014 Symphonie en P Sparkling (Crémant d'Alsace)","Sparkling Blend","Cave de Cleebourg"
"105","US",89,20,"New York","Millbrook 2014 Proprietor's Special Reserve Dry Riesling (Hudson River Region)","Riesling","Millbrook"
"106","South Africa",90,12,"Western Cape","KWV 2001 Cathedral Cellar Chardonnay (Western Cape)","Chardonnay","KWV"
"107","New Zealand",89,25,"Marlborough","Misty Cove 2015 Pinot Noir (Marlborough)","Pinot Noir","Misty Cove"
"108","Romania",85,12,"Dealu Mare","Byzantium 2005 Rosso di Valachia Red (Dealu Mare)","Red Blend","Byzantium"
"109","France",94,55,"Burgundy","Domaine Arnoux Père et Fils 2015 En Genêt Premier Cru  (Beaune)","Pinot Noir","Domaine Arnoux Père et Fils"
"110","Italy",89,47,"Veneto","Musella 2008  Amarone della Valpolicella","Corvina, Rondinella, Molinara","Musella"
"111","France",91,68,"Burgundy","Alex Gambal 2014  Volnay","Pinot Noir","Alex Gambal"
"112","US",88,28,"California","MacLeod 2016 Marie's Cuvée Sauvignon Blanc (Sonoma Valley)","Sauvignon Blanc","MacLeod"
"113","US",90,45,"New York","Bedell 2014 Cabernet Franc (North Fork of Long Island)","Cabernet Franc","Bedell"
"114","US",87,18,"California","Clos LaChance 2013 Meritage (Central Coast)","Meritage","Clos LaChance"
"115","US",93,60,"California","Lone Madrone 2009 Bollo Nebbiolo (Paso Robles)","Nebbiolo","Lone Madrone"
"116","France",92,NA,"Bordeaux","Château Bouscaut 2009  Pessac-Léognan","Bordeaux-style White Blend","Château Bouscaut"
"117","Italy",88,35,"Northeastern Italy","Tramin 2014 Unterebner Pinot Grigio (Alto Adige)","Pinot Grigio","Tramin"
"118","Chile",89,14,"Maipo Valley","Santa Rita 2006 Reserva Cabernet Sauvignon (Maipo Valley)","Cabernet Sauvignon","Santa Rita"
"119","France",95,NA,"Bordeaux","Château Providence 2009  Pomerol","Bordeaux-style Red Blend","Château Providence"
"120","US",88,48,"California","Charter Oak 2010 Monte Rosso Vineyard Zinfandel (Sonoma Valley)","Zinfandel","Charter Oak"
"121","US",94,75,"California","Walt 2014 Brown Ranch Pinot Noir (Carneros)","Pinot Noir","Walt"
"122","US",91,35,"California","Baileyana 2014 La Entrada Pinot Noir (Edna Valley)","Pinot Noir","Baileyana"
"123","US",93,28,"Oregon","Trisaetum 2014 Coast Range Estate Riesling","Riesling","Trisaetum"
"124","Italy",92,70,"Veneto","Corteforte 2009 Vigneti di Osan  (Amarone della Valpolicella Classico)","Red Blend","Corteforte"
"125","US",90,27,"California","Textbook 2015 Merlot (Napa Valley)","Merlot","Textbook"
"126","France",88,25,"Burgundy","Maison Jessiaume 2015  Bourgogne","Chardonnay","Maison Jessiaume"
"127","US",92,45,"California","Clif Family 2015 Gary's Improv Zinfandel (Howell Mountain)","Zinfandel","Clif Family"
"128","US",87,11,"Washington","Domaine Ste. Michelle NV Extra Dry White (Columbia Valley (WA))","White Blend","Domaine Ste. Michelle"
"129","US",83,18,"California","Loken Cellars NV Reserve Lot 14 Grenache Rosé (California)","Rosé","Loken Cellars"
"130","US",89,24,"California","Morro View Winery 2013 Speizer Family Vineyard Grenache Blanc (Edna Valley)","Grenache Blanc","Morro View Winery"
"131","France",87,11,"France Other","Lionel Osmin & Cie 2016 Villa Grand Cap White (Vin de France)","White Blend","Lionel Osmin & Cie"
"132","US",87,20,"Oregon","Gear and Sprocket 2013 Pinot Noir (Willamette Valley)","Pinot Noir","Gear and Sprocket"
"133","US",82,10,"California","Bogle 2011 Chardonnay (California)","Chardonnay","Bogle"
"134","US",93,35,"California","Stag's Leap Wine Cellars 1997 Merlot (Napa Valley)","Merlot","Stag's Leap Wine Cellars"
"135","Italy",91,45,"Northeastern Italy","Altemasi 2007 Riserva Graal Metodo Classico Brut Sparkling (Trento)","Sparkling Blend","Altemasi"
"136","US",86,13,"California","Kitchen Sink NV Red (California)","Red Blend","Kitchen Sink"
"137","US",87,14,"California","Hahn 2016 Pinot Noir (Monterey County)","Pinot Noir","Hahn"
"138","Austria",94,65,"Niederösterreich","Loimer 2013 Anning Pinot Noir (Niederösterreich)","Pinot Noir","Loimer"
"139","US",86,32,"California","Hahn 2011 Winery Exclusive G-S-M (Santa Lucia Highlands)","G-S-M","Hahn"
"140","Austria",84,NA,"Neusiedlersee","Manfred Weiss 2010 Eiswein Grüner Veltliner (Neusiedlersee)","Grüner Veltliner","Manfred Weiss"
"141","France",92,50,"Loire Valley","Charles Joguet 2010 Clos du Chêne Vert  (Chinon)","Cabernet Franc","Charles Joguet"
"142","US",84,8,"Texas","Messina Hof 2009 Muscat Canelli (Texas)","Muscat Canelli","Messina Hof"
"143","France",93,45,"Alsace","René Muré 2012 Clos Saint Landelin Vorbourg Grand Cru Gewurztraminer (Alsace)","Gewürztraminer","René Muré"
"144","Spain",90,18,"Northern Spain","Alvarez de Toledo 2013 Roble Mencía (Bierzo)","Mencía","Alvarez de Toledo"
"145","US",87,80,"California","Declaration 2014 Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Declaration"
"146","US",92,38,"California","Krutz 2008 Sleepy Hollow Vineyard Chardonnay (Santa Lucia Highlands)","Chardonnay","Krutz"
"147","Spain",89,25,"Northern Spain","Quo 2010 Premium Garnacha (Campo de Borja)","Garnacha","Quo"
"148","Italy",86,18,"Veneto","Maschio dei Cavalieri NV Brut  (Prosecco di Valdobbiadene)","Prosecco","Maschio dei Cavalieri"
"149","Canada",92,95,"Ontario","Wayne Gretzky Estates 2012 No. 99 Icewine Cabernet Franc (Niagara Peninsula)","Cabernet Franc","Wayne Gretzky Estates"
"150","US",90,27,"California","Novy 2008 Judge Family Vineyard Syrah (Bennett Valley)","Syrah","Novy"
"151","US",92,20,"Washington","O•S Winery 2007 Klipsun Vineyard S White White (Red Mountain)","White Blend","O•S Winery"
"152","France",92,34,"Alsace","Domaine François Schmitt 2010 Paradis Pfingsberg Grand Cru Riesling (Alsace)","Riesling","Domaine François Schmitt"
"153","US",86,17,"California","Toad Hollow 2010 Goldie's Vineyard Pinot Noir (Russian River Valley)","Pinot Noir","Toad Hollow"
"154","US",83,18,"California","Bota Box 2006 Merlot (California)","Merlot","Bota Box"
"155","US",83,30,"California","Jalama 2006 El Capitan Red (Santa Barbara County)","Red Blend","Jalama"
"156","Spain",82,12,"Northern Spain","Sinfonía 2014 Vintage Collection Tempranillo (Vino de la Tierra de Castilla y León)","Tempranillo","Sinfonía"
"157","US",84,12,"California","Gnarly Head 2012 Cabernet Sauvignon (California)","Cabernet Sauvignon","Gnarly Head"
"158","Spain",88,20,"Northern Spain","Gancedo 2010 Mencía (Bierzo)","Mencía","Gancedo"
"159","US",83,13,"New York","Brotherhood 2010 Chardonnay (New York)","Chardonnay","Brotherhood"
"160","Austria",94,70,"Kamptal","Bründlmayer 2015 Käferberg Reserve Grüner Veltliner (Kamptal)","Grüner Veltliner","Bründlmayer"
"161","Israel",88,35,"Judean Hills","Flam 2013 Rosé (Judean Hills)","Rosé","Flam"
"162","US",90,48,"Oregon","Winderlea 2013 Maresh Vineyard Pinot Noir (Dundee Hills)","Pinot Noir","Winderlea"
"163","US",91,24,"Washington","Dunham 2011 Shirley Mays Lewis Estate Vineyard Chardonnay (Columbia Valley (WA))","Chardonnay","Dunham"
"164","US",89,18,"Washington","Sweet Valley Wines 2008 Viognier (Columbia Valley (WA))","Viognier","Sweet Valley Wines"
"165","Australia",91,24,"South Australia","Cape Barren 2012 Native Goose Chardonnay (Adelaide Hills)","Chardonnay","Cape Barren"
"166","France",86,30,"Bordeaux","Château Jacques Noir 2006  Saint-Émilion","Bordeaux-style Red Blend","Château Jacques Noir"
"167","France",88,13,"Bordeaux","Château Lamothe-Vincent 2014 Intense  (Bordeaux)","Bordeaux-style Red Blend","Château Lamothe-Vincent"
"168","France",85,14,"Rhône Valley","Christian Leperchois 2012 Lunar Apogé  (Tavel)","Rosé","Christian Leperchois"
"169","US",89,38,"Washington","JM Cellars 2015 Chardonnay (Columbia Valley (WA))","Chardonnay","JM Cellars"
"170","US",92,62,"California","Morgan 2006 Rosella's Vineyard Pinot Noir (Santa Lucia Highlands)","Pinot Noir","Morgan"
"171","US",92,45,"Oregon","Willamette Valley Vineyards 2012 Elton Chardonnay (Eola-Amity Hills)","Chardonnay","Willamette Valley Vineyards"
"172","France",90,40,"Languedoc-Roussillon","Château Ollieux Romanis 2013 Atal Sia Red (Corbières-Boutenac)","Rhône-style Red Blend","Château Ollieux Romanis"
"173","Portugal",89,20,"Alentejano","J. Portugal Ramos 2013 Vila Santa Reserva Red (Alentejano)","Portuguese Red","J. Portugal Ramos"
"174","Chile",83,10,"Colchagua Valley","Cantora 2009 Carmenère (Colchagua Valley)","Carmenère","Cantora"
"175","Portugal",87,NA,"Bucelas","Coteaux da Murta 2011 Quinta da Murta Espumante Brut Nature Arinto (Bucelas)","Arinto","Coteaux da Murta"
"176","US",89,25,"California","Borra 2010 Heritage Field Blend Red (Lodi)","Red Blend","Borra"
"177","Portugal",87,15,"Douro","Quinta de Porrais 2013 Porrais Red (Douro)","Portuguese Red","Quinta de Porrais"
"178","France",86,19,"Burgundy","Georges Duboeuf 2010 Domaine de la Batie  (Saint-Véran)","Chardonnay","Georges Duboeuf"
"179","Austria",90,18,"Kamptal","Schloss Gobelsburg 2015 Grüner Veltliner (Kamptal)","Grüner Veltliner","Schloss Gobelsburg"
"180","US",88,28,"California","WillowBrook Cellars 2001 Owl Ridge Vineyards Chardonnay (Russian River Valley)","Chardonnay","WillowBrook Cellars"
"181","US",91,40,"Washington","Mercer 2011 Reserve Cavalie Red (Columbia Valley (WA))","Bordeaux-style Red Blend","Mercer"
"182","US",91,30,"Washington","Stevens 2008 Franc Cabernet Franc (Yakima Valley)","Cabernet Franc","Stevens"
"183","Italy",90,15,"Central Italy","La Staffa 2012  Verdicchio dei Castelli di Jesi Classico","Verdicchio","La Staffa"
"184","US",89,42,"California","Foxen 7200 2012 Range 30 West Red (Happy Canyon of Santa Barbara)","Bordeaux-style Red Blend","Foxen 7200"
"185","Australia",85,18,"South Australia","Schild Estate 2009 Riesling (Barossa)","Riesling","Schild Estate"
"186","Italy",84,25,"Veneto","Castellargo NV  Prosecco","Glera","Castellargo"
"187","Italy",87,35,"Piedmont","Rivetti Massimo 2014  Barbera d'Alba","Barbera","Rivetti Massimo"
"188","Italy",88,29,"Piedmont","Albino Rocca 2012  Nebbiolo d'Alba","Nebbiolo","Albino Rocca"
"189","Italy",91,39,"Northeastern Italy","Vie di Romans 2009 Ciampagnis Vieris Chardonnay (Friuli Isonzo)","Chardonnay","Vie di Romans"
"190","Italy",89,30,"Veneto","Fabiano 2010  Valpolicella Classico Superiore Ripasso","Red Blend","Fabiano"
"191","France",91,53,"Burgundy","Domaine Laroche 2013 Les Vaillons Vieilles Vignes Premier Cru  (Chablis)","Chardonnay","Domaine Laroche"
"192","Chile",90,30,"Colchagua Valley","Lapostolle 2011 Collection San Jose Apalta Syrah (Colchagua Valley)","Syrah","Lapostolle"
"193","US",91,36,"California","Skinner 2013 Petite Sirah (El Dorado)","Petite Sirah","Skinner"
"194","Chile",93,90,"Colchagua Valley","Lapostolle 2009 Clos Apalta Red (Colchagua Valley)","Red Blend","Lapostolle"
"195","Italy",91,18,"Tuscany","Castello del Terriccio 2000 Rondinaia Sangiovese (Toscana)","Sangiovese","Castello del Terriccio"
"196","Portugal",88,19,"Dão","Boas Quintas 2016 Fonte do Ouro Encruzado (Dão)","Encruzado","Boas Quintas"
"197","Spain",89,29,"Northern Spain","Vallobera 2009 Javier San Pedro Reserva  (Rioja)","Tempranillo","Vallobera"
"198","France",87,15,"Burgundy","Domaine Touzot 2016  Mâcon-Villages","Chardonnay","Domaine Touzot"
"199","US",92,90,"California","Y Rousseau 2013 Le Roi Soleil Cabernet Sauvignon (Mount Veeder)","Cabernet Sauvignon","Y Rousseau"
"200","US",88,17,"California","Lucas & Lewellen 2013 Estate Vineyards Chardonnay (Santa Barbara County)","Chardonnay","Lucas & Lewellen"
"201","Italy",92,72,"Northeastern Italy","Foradori 2011 Granato Teroldego (Vigneti delle Dolomiti)","Teroldego","Foradori"
"202","US",94,54,"California","Talley 2012 Stone Corral Vineyard Proprietor Grown Pinot Noir (Edna Valley)","Pinot Noir","Talley"
"203","Argentina",85,13,"Mendoza Province","Alfredo Roca 2013 Fincas Malbec (Mendoza)","Malbec","Alfredo Roca"
"204","France",90,15,"Alsace","Jean-Marc Bernhard 2014 Pinot Blanc (Alsace)","Pinot Blanc","Jean-Marc Bernhard"
"205","US",83,34,"California","Enkidu 2006 Odyssey Syrah (Russian River Valley)","Syrah","Enkidu"
"206","Germany",90,40,"Mosel","S.A. Prüm 2010 Wehlener Sonnenuhr Auslese Riesling (Mosel)","Riesling","S.A. Prüm"
"207","US",92,45,"Washington","Dunham 2011 VXVII Cabernet Sauvignon (Columbia Valley (WA))","Cabernet Sauvignon","Dunham"
"208","France",85,13,"Burgundy","Simonnet-Febvre 2009 Sauvignon  (Saint-Bris)","Sauvignon Blanc","Simonnet-Febvre"
"209","US",93,38,"California","Benovia 2013 Pinot Noir (Russian River Valley)","Pinot Noir","Benovia"
"210","France",92,35,"Southwest France","Château Peyros 2010 Cuvée Greenwich Tannat-Cabernet Franc (Madiran)","Tannat-Cabernet Franc","Château Peyros"
"211","US",91,48,"Oregon","Elizabeth Chambers 2012 Temperance Hill Vineyard Pinot Noir (Eola-Amity Hills)","Pinot Noir","Elizabeth Chambers"
"212","Australia",93,149,"South Australia","Langmeil 2013 The Freedom 1843 Shiraz (Barossa)","Shiraz","Langmeil"
"213","Italy",86,14,"Veneto","La Jara NV Brut  (Prosecco Treviso)","Glera","La Jara"
"214","Italy",85,19,"Northeastern Italy","Plozner 2007 Sauvignon (Friuli)","Sauvignon","Plozner"
"215","Spain",90,32,"Northern Spain","CVNE 2011 Viña Real Reserva  (Rioja)","Tempranillo","CVNE"
"216","Portugal",85,13,"Tejo","Quinta do Casal Branco 2014 Fernão Pires (Tejo)","Fernão Pires","Quinta do Casal Branco"
"217","Austria",92,25,"Kremstal","Salomon-Undhof 2011 Wiedenberg Tradition Grüner Veltliner (Kremstal)","Grüner Veltliner","Salomon-Undhof"
"218","US",89,15,"Washington","Disruption 2014 Red (Washington)","Red Blend","Disruption"
"219","US",88,25,"Oregon","Lumos 2013 Five Blocks Wren and Temperance Hill Pinot Noir (Willamette Valley)","Pinot Noir","Lumos"
"220","Austria",86,NA,"Weinviertel","Schwarzböck 2013 Vom Bisamberg Grüner Veltliner (Weinviertel)","Grüner Veltliner","Schwarzböck"
