IZ,name,YhospResp,EhospResp,employment,income,crime,housing,education,access,no2,pm10
S02001267,Woodside,152,132.1786371,15.6,19.2,740.3681302,0.240944026,1.097497461,2.500980744,12.83602,10.49115
S02001268,Hilton,169,206.4945328,5.5,7.25,252.4337052,0.131668218,-0.035821211,6.300007992,16.95603,10.70532
S02001269,Stockethill,258,210.1715883,10.57142857,12.14285714,352.3637157,0.171443022,0.444433678,22.67686534,21.400565,11.23783
S02001270,Mastrick,212,166.3283675,12,16.14285714,486.3500473,0.1927617,0.884968066,4.280483914,14.42403,9.89811
S02001271,Sheddocksley,244,192.10328,11,11.66666667,212.0112859,0.15540181,0.573826372,24.34750386,10.070923,9.182541
S02001272,Cummings Park,181,130.3651013,10.2,15,392.9310921,0.174393936,1.159956008,7.351354078,15.88003,10.469895
S02001273,Northfield,247,174.8030657,12.42857143,15.57142857,580.0242301,0.195138257,1.122763171,5.20064305,11.6713125,9.57064425
S02001274,Heathryfold and Middlefield,249,162.3652815,12.83333333,16.66666667,536.0261259,0.216150632,1.237766105,18.77893493,15.88003,10.469895
S02001275,Kingswells,93,184.1735252,1.5,2.166666667,108.0064836,0.038124172,-1.021531891,32.32397401,7.028736135,9.46762902
S02001276,Bucksburn South,118,126.3308411,6.8,7.4,380.6944111,0.130502596,0.432812523,8.022785135,11.24073,10.14822467
S02001277,Bucksburn North,156,189.9800877,4.833333333,7,265.3552285,0.112269851,0.071329404,12.78077124,14.4648455,10.59177867
S02001278,Dyce,171,206.7578053,4.714285714,6,226.8626731,0.080968899,-0.082474744,22.90620458,7.912397225,9.844932775
S02001279,Danestone,100,147.5171461,1.5,2,97.89493079,0.078956509,-0.7554276,15.43721337,13.40377,10.4543
S02001280,Oldmachar West,101,145.8925358,2.666666667,2.666666667,96.08761786,0.089399743,-0.501066901,20.01419132,9.8303693,9.89286985
S02001281,Oldmachar East,103,176.4058648,2.571428571,2.714285714,66.64407266,0.052295025,-0.458183282,16.7938357,12.49504,9.680478
S02001282,Balgownie and Donmouth West,100,138.9559375,5.5,6.5,186.3530852,0.12544083,0.05090593,9.073628477,14.3610525,10.108436
S02001283,Balgownie and Donmouth East,58,101.8077834,3.75,3.5,270.0675323,0.097306446,-0.681080508,7.918699921,16.665235,10.425135
S02001284,Denmore,88,104.0250997,3.25,2.75,125.9589221,0.066893268,-0.475116104,35.32652386,8.946027965,10.49154747
S02001285,East Cairngorms,50,131.8791018,4.2,4.6,170.5087136,0.099484241,-0.33655765,37.73028936,2.122244089,6.29468185
S02001286,Aboyne and South Deeside,109,200.6940871,4,4.571428571,113.1325291,0.068054613,-0.628066499,40.72879896,2.949345839,7.169988036
S02001287,Mearns and Laurencekirk,83,161.1670524,4,5.8,143.9451135,0.09383629,-0.363943644,29.80829022,3.599546041,10.67062602
S02001288,Mearns South and Benholm,74,142.8723771,4.6,6.4,135.417056,0.074206477,-0.355167369,63.09440994,3.787972406,11.27270167
S02001289,Mearns North and Inverbervie,134,194.0345369,3.857142857,5.571428571,139.1930338,0.07614997,-0.417504231,45.11616218,3.677499474,10.42385866
S02001290,"Fetteresso, Netherley and Catter",70,133.3995693,1.2,1.8,128.7686588,0.062718001,-0.960802354,71.94635229,4.289635171,10.16857861
S02001291,Stonehaven South,119,200.5826247,5.571428571,5.428571429,152.9257154,0.069491713,-0.558779105,14.58271785,5.855498,10.305692
S02001292,Stonehaven North,124,218.5947746,3,3.777777778,188.9912313,0.056527848,-0.909908619,13.9442195,6.3464615,9.93269675
S02001293,Newtonhill,59,103.6752111,2.333333333,2,50.75350282,0.037664517,-0.655287011,54.44080397,7.015438,11.226795
S02001294,Portlethen,96,147.2305216,2.5,2.333333333,181.1575662,0.062398162,-0.366767806,13.73888615,8.146393,9.971132
S02001295,Banchory-Devenick and Findon,108,177.6067359,3.8,4.2,178.6000668,0.062067307,-0.165575103,36.36540704,7.520063789,10.53019733
S02001296,"Dunecht, Durris and Drumoak",96,176.1957795,1.833333333,2.166666667,76.21363414,0.064541413,-0.933719875,69.56609064,3.976662803,9.069974352
S02001297,Banchory East,110,150.5562722,2.666666667,3.833333333,83.42645607,0.06379396,-0.862091083,31.19642707,4.8819115,8.4376865
S02001298,Banchory West,73,127.9649303,2.5,2.5,147.9289219,0.040435034,-1.377635924,16.81383152,4.539155,8.153721
S02001299,Crathes and Torphins,106,176.7986719,2.666666667,2.666666667,75.51540298,0.085707247,-0.971950323,39.9226727,3.433666671,8.268912532
S02001300,Cromar and Kildrummy,85,160.1337181,3.8,5.2,73.0026038,0.064173368,-0.536142751,55.04239632,2.777650407,7.708491664
S02001301,Howe of Alford,114,220.4920034,3.222222222,4,116.5475287,0.054774505,-0.744294454,34.61253044,3.335731773,9.207293245
S02001302,Kemnay,83,132.5306786,4.8,7.4,202.0955193,0.106205547,-0.008840948,7.706360308,4.7936325,10.633215
S02001303,Inverurie North,130,202.8841857,4.125,4.75,124.3865355,0.081775816,-0.253783283,13.83004291,6.44669,9.27458025
S02001304,Inverurie South,175,210.5788819,7.714285714,7.714285714,306.0743753,0.114412404,0.149234285,11.72543714,7.0229145,9.5541225
S02001305,Durno-Chapel of Garioch,79,182.6742248,1.142857143,1.714285714,59.64805304,0.056264295,-0.891476822,53.86188627,4.034360734,10.21603688
S02001306,Kintore,128,198.4225039,2.666666667,3.111111111,178.5596071,0.043640322,-0.668238913,37.84095053,4.541146414,10.29692854
S02001307,Blackburn,70,103.6209816,1.75,3,104.7565388,0.044927674,-0.577718784,51.69804983,5.262654853,10.01010582
S02001308,Westhill North and South,78,156.0678207,2.166666667,2.333333333,89.69489848,0.037796378,-1.173939411,38.79877963,5.36314012,9.597834953
S02001309,Westhill Central,79,150.790011,2.333333333,2.5,104.8526224,0.043790155,-1.111544695,13.68939085,6.806321,8.871578
S02001310,Garlogie and Elrick,46,119.2636688,1.8,2.2,102.178444,0.03252019,-1.127646168,33.78598875,8.4766365,9.757260833
S02001311,Newmachar and Fintray,79,138.0184103,2.166666667,2,121.1142751,0.050896775,-0.578521383,60.0389386,5.289392987,10.24911287
S02001312,Balmedie and Potterton,89,174.2626971,3.333333333,4,94.94956442,0.067512847,-0.654716458,53.05087584,6.309439873,10.41494242
S02001313,Ellon East,108,214.798768,3.285714286,4,158.7894611,0.048386296,-0.589325571,17.6912381,5.194737,11.0892525
S02001314,Ellon West,132,164.6127084,4.428571429,5.285714286,204.8297882,0.071596929,-0.619234191,17.90168819,4.740166667,11.19406
S02001315,Ythanside,69,148.6092845,3,3.5,140.4041478,0.070870545,-0.751290216,58.81016969,4.172179984,10.72481269
S02001316,Ythsie,134,204.3765002,2.857142857,3.285714286,49.65200642,0.068534694,-0.746745039,44.78753833,4.012375979,11.35839897
S02001317,Barrahill,127,170.9758223,2.833333333,3.833333333,133.2991806,0.051236195,-0.409645155,22.61451425,4.013300624,11.20903137
S02001318,Fyvie-Rothie,94,136.6426852,4.666666667,5.166666667,72.02148302,0.072242824,-0.088326717,59.39101676,3.615442681,10.79261465
S02001319,"Insch, Oyne and Ythanwells",105,185.5237243,3.4,3.8,73.97683647,0.056858144,-0.482070669,49.37149965,3.419416003,10.26762409
S02001320,Clashindarroch,107,169.6397959,4,4.333333333,123.7227442,0.076613198,-0.327908601,61.79832357,3.027520223,8.345525817
S02001321,Huntly,143,188.0745457,8.6,11.2,262.5805984,0.101858428,0.217261471,6.933549803,5.09372225,9.622962
S02001322,Auchterless and Monquhitter,59,95.3845473,4.5,5.75,105.6829805,0.051747387,-0.041688642,66.79735768,3.493453829,10.94404928
S02001323,Turriff,189,190.5264208,5.833333333,7.5,159.8343256,0.087970508,0.174406489,7.004430106,5.5760305,10.9712475
S02001324,"Portsoy, Fordyce and Cornhill",99,130.683639,6.5,8.5,138.0108847,0.07176617,0.09285668,36.60192392,3.33210011,9.673221627
S02001325,Aberchirder and Whitehills,116,149.1161501,7.6,9,142.760542,0.07628119,0.293880825,42.93512904,3.428666592,10.30995779
S02001326,Banff,161,159.3589856,10.6,12.2,321.3783384,0.093749544,0.477131044,7.56164953,4.71016325,9.16502325
S02001327,Macduff,119,144.8232109,10.2,11.2,285.4984771,0.112223827,0.249450223,6.248169211,5.782122,9.7530205
S02001328,Gardenstown and King Edward,101,124.4955132,6.25,8.25,114.1960958,0.074817336,0.070811807,51.16561215,3.566049607,11.01308846
S02001329,New Pitsligo,73,109.2149605,6.25,7,233.9954616,0.084802927,0.268987693,62.07216505,3.702793067,9.782085236
S02001330,Deer and Mormond,133,176.5952871,5.857142857,6,157.4463253,0.082950066,-0.166395521,40.02284653,3.884064933,9.980577692
S02001331,Mintlaw,71,111.7860962,7.75,10,143.8437428,0.087550084,0.043709063,13.8705745,4.2196285,9.051192
S02001332,Auchnagatt,90,104.3773473,3.5,4.25,109.4160063,0.048826461,-0.305657153,54.00961573,3.813579139,10.57485934
S02001333,Cruden,106,164.3629935,6.428571429,7.857142857,161.3305963,0.090220845,0.068833147,37.6248391,4.175494883,9.800403202
S02001334,Peterhead Links,146,154.8933065,5,6.666666667,196.0545992,0.073677322,0.662419948,16.18273213,7.0399755,10.18995663
S02001335,Peterhead Bay,108,101.6980424,11,13.66666667,434.8400339,0.092034903,0.880331291,4.897611858,8.6406905,9.097506
S02001336,Peterhead Harbour,223,220.0901221,12.875,16.75,720.2231627,0.194840775,1.253305827,10.67666654,9.71345175,9.40785025
S02001337,Peterhead Ugieside,116,164.0080448,5.333333333,6.166666667,107.1525969,0.076698454,0.244145772,31.04875587,7.711025,9.704081
S02001338,Longside and Rattray,148,235.3072409,5.625,6.25,141.0573269,0.066690344,0.099896332,51.62293677,4.429139841,10.47761714
S02001339,Rosehearty and Strathbeg,159,220.9943011,7.777777778,7.555555556,178.3907539,0.089649973,0.115304938,45.55820785,4.367367351,10.05362941
S02001340,Fraserburgh Smiddyhill,129,164.8593803,3.833333333,4.166666667,155.9709362,0.047360192,-0.284756916,21.20639355,8.344200667,10.30945
S02001341,Fraserburgh Lochpots,72,80.8972267,12,17,336.3898819,0.17192359,1.19879943,13.55752119,8.8409475,9.8947605
S02001342,Fraserburgh Central-Academy,113,105.0726498,10.75,11.75,453.2469028,0.113303863,0.339169023,1.112773647,9.8915605,10.17205
S02001343,Fraserburgh Harbour and Broadsea,144,123.0150435,14.5,17,826.5540444,0.193013089,1.316221445,4.421101033,9.8915605,10.17205
S02001344,South Angus,106,212.4461973,4.25,3.75,160.8298514,0.046531842,-0.722046415,45.09556307,4.071327163,10.74649627
S02001345,Monikie,197,222.6919178,4,3.875,93.22926293,0.042382114,-0.694992119,47.52919409,4.892326152,10.9475497
S02001346,Monifieth West,94,119.3722261,5,5.5,98.37349215,0.046779862,-0.785682182,15.69907185,7.8729145,9.4271815
S02001347,Monifieth East,179,224.3732018,5.142857143,5.428571429,111.7832849,0.052504145,-0.784315442,12.02055861,8.284679,8.956738
S02001348,Carnoustie West,152,197.707731,8.571428571,10.85714286,198.3504851,0.123147455,-0.074208034,11.80691767,5.77107275,9.715924
S02001349,Carnoustie East,164,236.5082737,5,4.428571429,152.8186444,0.046446651,-0.703287255,17.76764417,5.63058575,9.4213325
S02001350,Arbroath Landward,66,98.3287593,3.333333333,5,153.7239201,0.092535294,-0.191600784,64.23321483,3.979907011,11.41961912
S02001351,Arbroath Kirkton,164,218.426686,8.285714286,10.57142857,181.0707147,0.075536942,0.004767382,22.9278821,7.35903925,10.86021463
S02001352,Arbroath Keptie,146,162.265868,7.75,9,241.5497058,0.067805091,-0.207066732,10.33264141,7.23079825,9.3085625
S02001353,Arbroath Harbour,166,177.7925257,16.83333333,19.33333333,765.3526143,0.147114862,0.715262431,3.473446721,6.6263655,9.8191195
S02001354,Arbroath Cliffburn,198,189.1063714,12.57142857,17,203.1165833,0.162941379,0.502753565,10.12622197,4.8592235,10.021886
S02001355,Arbroath Warddykes,188,166.7299921,14.57142857,18.85714286,406.529197,0.134142123,0.647997852,22.67818018,5.832265,9.960822
S02001356,Lunan,76,107.2578389,6,7.5,389.5512433,0.094457202,-0.244658349,46.85805333,3.831898625,11.63852133
S02001357,Montrose South,252,217.8949047,11.71428571,14.71428571,407.5346403,0.143205764,0.228090819,5.973765941,6.792004334,9.14273
S02001358,Montrose North,194,184.2458015,9.333333333,9.833333333,212.4318009,0.096556874,0.043854141,19.78057857,7.53017625,10.1149965
S02001359,Hillside,97,144.1959902,4.2,5.8,92.00072965,0.060726085,-0.549302877,42.72500993,4.022735202,11.46903902
S02001360,Friockheim,82,126.3722742,6,7.25,178.5148427,0.082739426,-0.21094295,63.48331769,3.550713,11.66407588
S02001361,Brechin East,139,126.6273896,14,16.2,376.3004404,0.136634754,0.619083689,10.96533466,5.96773675,11.5297125
S02001362,Brechin West,136,161.2605166,6.6,8.8,323.5962828,0.076883338,-0.028353689,10.16143285,5.1550015,11.27357
S02001363,Letham and Glamis,166,213.64794,5.5,6.625,136.4263018,0.063426391,-0.35419895,59.42912935,3.820679092,11.32490911
S02001364,Forfar East,148,180.6300961,6.166666667,7.333333333,219.9563564,0.092256158,-0.354030763,15.6645212,5.82509225,10.575565
S02001365,Forfar Central,210,180.6316303,13.66666667,17,574.9853774,0.140491137,0.559796802,5.673257412,6.52988125,10.9808775
S02001366,Forfar West,206,198.2492282,10.83333333,12.83333333,210.533117,0.102849283,0.149940642,14.38844842,5.26657,11.95305
S02001367,Kirriemuir Landward,93,106.8462334,6.8,6.4,125.6722971,0.089040229,-0.352995432,55.18391258,3.041830509,10.53458361
S02001368,Kirriemuir,199,244.5122177,8.5,9.75,294.8804651,0.087088272,-0.348832725,11.57025055,3.942159167,9.827701165
S02001369,Angus Glens,90,138.1491869,4.8,5.6,80.11794255,0.094593446,-0.475817493,76.52467287,2.598314285,7.641267846
S02001371,Oban South,193,207.8048025,10,11,354.7813044,0.153910266,0.332803525,24.01374627,2.166709944,6.659480084
S02001372,Oban North,68,97.6095782,8.25,9,479.2279077,0.199958742,0.04549742,22.37748728,3.1366895,8.1531095
S02001373,Benderloch Trail,146,221.2418021,5.714285714,6.571428571,108.9512167,0.103435575,-0.417041642,62.68583094,1.902376636,6.265384005
S02001374,Loch Awe,50,94.4049015,4.333333333,5.666666667,109.0556562,0.155658666,-0.319533564,92.75998868,1.851368105,6.27339534
S02001375,Mid Argyll,67,122.273586,5,7,171.7983255,0.109788645,-0.753447853,56.59451945,1.791180966,6.482319761
S02001376,Greater Lochgilphead,140,144.0015952,9,10,194.2145883,0.105007146,-0.20738417,29.76978981,2.160718389,6.949302389
S02001377,Knapdale,74,101.1751054,7.5,7.75,121.3151403,0.102214692,-0.501091882,46.12433258,1.837080816,6.585077366
S02001379,Kintyre Trail,72,119.7588812,8.5,10.25,97.37089053,0.12071696,-0.387308004,67.15028418,2.456519817,6.783382482
S02001380,Campbeltown,217,201.9138912,14.14285714,16.28571429,446.5071296,0.112866798,0.26483065,9.507445966,3.138455,7.229602667
S02001383,Cowal South,73,116.8253723,8,8.5,94.02025618,0.116625562,-0.264374461,65.56039531,2.132762927,6.674235
S02001384,Cowal North,90,137.9752211,8,7,249.8515883,0.127102727,-0.271724496,61.53993249,2.072612659,6.603120899
S02001385,Hunter's Quay,210,225.3263943,13.14285714,13.57142857,308.3767096,0.11409154,0.084675893,16.42899426,3.580285,7.35482975
S02001386,Dunoon,166,176.3882995,19.14285714,19.85714286,454.8764644,0.142645473,0.26231578,8.31123173,3.9679327,7.2819354
S02001387,Garelochhead,202,204.4249192,8,9.25,116.3291168,0.104621365,-0.275384735,37.11874961,3.044578181,6.9603675
S02001388,Helensburgh West and Rhu,113,179.6925451,5,5.666666667,74.30590067,0.05480532,-0.972238254,39.59995483,3.78888925,7.19244675
S02001389,Helensburgh North,126,178.222915,4.285714286,6.142857143,131.5590307,0.048877921,-1.071537163,26.48278632,5.12944125,7.641877625
S02001390,Helensburgh Centre,122,128.7935025,14,14,499.9006052,0.117664109,-0.333336035,4.489278561,5.506537,7.925129
S02001391,Helensburgh East,167,142.6331277,11.66666667,12.66666667,247.350431,0.100534204,-0.17330438,20.27725958,4.9811665,7.640706
S02001392,Lomond Shore,87,116.228875,4.8,5.2,304.0929429,0.061145405,-0.791833679,51.04050839,3.25422191,6.967287524
S02001393,Tullibody South,176,156.2837982,12.16666667,14.66666667,296.9704301,0.092576918,0.381673134,19.64056857,8.744693,9.594147375
S02001394,Tullibody North and Glenochil,186,161.3319031,12.5,16.16666667,357.9772086,0.106413815,0.802379667,21.41841017,6.08496097,9.054233106
S02001395,Menstrie,75,109.7239299,7.25,7.25,125.0674876,0.054027815,-0.696165411,24.80751915,12.08626,10.3882705
S02001396,Alva,185,175.73573,11.42857143,12.57142857,265.9066471,0.120219147,-0.036648469,6.525797478,6.473435,9.3059345
S02001397,"Fishcross, Devon Village and Coalsnaughton",79,81.6908748,16.33333333,15.33333333,439.308497,0.097808684,0.479116693,24.24947317,5.181426512,8.95673208
S02001398,Tillicoultry,134,178.3057898,12.875,12.25,496.5350838,0.085029239,0.022500813,13.05581415,6.223404,9.3848855
S02001399,Dollar and Muckhart,91,141.3639373,3.6,4.2,97.3200869,0.032447193,-1.371954291,32.60912431,4.554568074,8.65035725
S02001400,"Clackmannan, Kennet and Forestmill",158,170.9700952,12.33333333,12.5,277.4080881,0.106191611,0.356601246,20.18447331,6.455621385,10.13006746
S02001401,Sauchie,169,194.6648442,15,16,339.220376,0.107590752,0.457736359,21.54106371,9.427333143,10.486964
S02001402,Alloa South and East,163,155.193654,29.83333333,31.83333333,1019.710302,0.175488941,1.309574723,17.47019927,23.0346225,10.8774025
S02001403,Alloa North,197,204.2259348,13,14.11111111,207.602487,0.097320222,0.284389823,29.65073278,16.772015,10.514265
S02001404,Alloa West,116,117.854119,9.6,8.2,179.0040109,0.071266414,-0.335502734,26.35353474,9.696933625,10.06444175
S02001405,Stranraer West,120,154.6380666,21,23.16666667,317.5430024,0.110124226,0.615029905,25.72663918,5.117147,9.9317195
S02001406,Stranraer East,79,102.3840069,16.33333333,20,867.1029304,0.102403053,0.480948041,4.985213655,6.14326,9.604506
S02001407,Stranraer South,124,134.214164,13,15.25,244.822133,0.109825894,0.418585481,22.62607348,6.2627425,9.977541
S02001408,Rhins North,95,153.6456409,9,11.2,367.8956678,0.07143152,0.118904659,61.25908994,3.754064669,8.026121438
S02001409,Rhins South,73,87.4308567,11,14.66666667,85.75209645,0.097272904,0.084524698,62.45892327,3.149679276,8.088283028
S02001410,Machars North,87,103.4820981,10,12.5,115.0630851,0.095960025,-0.061097691,67.15413111,3.146868397,7.31032316
S02001411,Machars South,128,213.747721,10.14285714,13.14285714,101.2340454,0.103444987,0.181773254,38.8514282,3.082348839,7.88009174
S02001412,Newton Stewart,186,229.2367201,9.125,14.25,270.4124625,0.087817751,0.304234757,22.06751696,2.927716428,7.259872776
S02001413,Gatehouse,106,157.5985476,7,7.8,76.31018712,0.092043435,-0.22890676,51.48448929,2.994000328,7.405920239
S02001414,Kirkcudbright,167,228.244441,8.75,9.375,319.8474306,0.096112391,-0.310003291,34.53921561,3.173204522,7.705540727
S02001415,Castle Douglas,173,207.3688727,9.2,11.6,236.1594735,0.06431132,-0.10971979,15.91462572,3.211451036,8.077329836
S02001416,Dalbeattie,168,178.7180429,10.4,11.4,132.8920583,0.073869816,-0.076319785,3.417958207,3.8771885,8.60035725
S02001417,Dalbeattie Rural,66,108.3578112,5.333333333,4.666666667,122.2234382,0.051035986,-0.649139313,75.54019202,3.088721469,7.717546305
S02001418,Glenkens,104,155.8350679,7,8.8,102.996024,0.077663196,-0.411964324,65.45926645,2.820010561,7.347641778
S02001419,Upper Nithsdale,210,184.5831811,15.28571429,18.71428571,263.3216107,0.113658968,0.44149534,22.26826282,2.963770588,7.686405039
S02001420,Thornhill,149,171.7063557,7.6,9.8,183.6412574,0.075608272,-0.358000524,35.73540435,2.791264375,7.722950869
S02001421,Mid Nithsdale,146,176.6527492,5.666666667,6.666666667,202.4210396,0.084384707,-0.471703393,66.40692014,3.207357727,8.136086247
S02001422,Shawhead,119,128.5137031,6,7.5,258.2326599,0.054895899,-0.329289486,48.67808624,3.146292759,7.955840603
S02001423,Lochside and Lincluden,394,207.364443,20.5,25.625,386.1596098,0.178092023,1.078986479,15.93519838,6.09475425,9.15759825
S02001424,Summerville,234,177.3446691,14.33333333,16.33333333,618.8284153,0.117547801,0.211216067,6.931284066,7.4333345,9.241953
S02001425,Troqueer,99,142.0247122,8,8.8,193.4301208,0.095167848,-0.467054859,9.891877314,6.609448,8.8911295
S02001426,New Abbey,119,135.2670151,9.25,9,136.4675615,0.084010096,-0.144054501,53.15493913,3.170702809,7.718653626
S02001427,Kingholm,127,125.2123631,8.25,7.25,262.9983989,0.067443744,-0.26060696,52.69794605,3.430066883,8.109256695
S02001428,Calside,83,98.8017174,4.5,3.75,103.0851434,0.073284288,-0.63362694,17.20656387,4.657141,8.6243765
S02001429,Georgetown,88,111.2812196,5.25,4,375.7523161,0.057358462,-0.641591573,15.99448874,6.2077655,8.906512
S02001430,Dumfries Central,193,128.4243733,21.25,21.25,1017.898153,0.155976531,0.347232117,7.163401961,6.845683,8.9259755
S02001431,Nunholm,113,125.389985,10.75,10,391.2971226,0.068021033,-0.710704687,16.26939696,11.86813,9.52606
S02001432,Locharbriggs,137,120.2002398,9.2,10.4,177.8552258,0.093851735,0.276162327,25.58481991,5.455989,9.528445
S02001433,Heathhall,87,106.0712498,5.4,5,68.34403695,0.065841011,-0.479712923,29.6858028,5.5788535,8.914045
S02001434,Collin,123,130.2189668,4.25,5,103.4827624,0.047925015,-0.460057246,38.75633541,4.171784816,8.475281031
S02001435,Lochmaben,96,132.9882829,5.25,7.25,198.1993154,0.084038893,-0.350099604,51.11983374,3.787601899,8.536129789
S02001436,Lockerbie,174,206.4715365,9.833333333,10.16666667,214.7094747,0.07847458,-0.067698292,16.20838995,3.63180111,8.271120009
S02001437,Moffat,105,166.5486764,7.8,9.2,125.4870433,0.076915666,-0.513057417,27.12513696,3.043775877,8.096508554
S02001438,Langholm and Eskdale,53,159.6971306,8,9.4,86.52311746,0.077351122,-0.387360558,31.18195816,2.575631676,7.589277871
S02001439,Annandale East,126,163.4655775,7.4,9.8,145.0506556,0.081727289,-0.037976773,60.81521774,3.250110662,8.004340736
S02001440,Annandale West,62,99.9796428,7,7,183.0246797,0.083377024,-0.10317128,62.97356899,3.703527564,8.338439104
S02001441,Annan West,139,125.9341386,12.75,13.5,452.5250672,0.090494266,0.207465841,5.178887327,5.85742975,8.99494675
S02001442,Annan East,264,213.0301086,11.375,12.375,212.88267,0.09598699,0.347395991,19.50002191,4.219397352,8.751551325
S02001443,Eastriggs,105,120.0798589,6.5,7.5,150.04517,0.047308084,-0.118374039,34.67909774,4.033923094,8.377796063
S02001444,Gretna,104,171.0206871,8,8.333333333,320.4474459,0.086868664,0.276070924,13.00670759,4.672898739,8.89840125
S02001445,Westend,152,193.0863522,4.142857143,3.714285714,110.1612049,0.107324039,-1.119395249,17.3344015,11.67015613,9.3142385
S02001446,Perth Road,131,155.59205,7.5,8.833333333,295.3920595,0.323783717,-0.097505859,3.153262226,16.7399575,9.92874725
S02001447,Logie and Blackness,185,176.6830785,12.66666667,15.66666667,355.955251,0.271680728,0.227448033,5.689872143,13.299165,9.984417
S02001448,City Centre,177,115.2840244,17.33333333,19.33333333,1571.506867,0.276498141,0.428167549,5.3221101,18.52152,10.2825435
S02001449,Docks and Wellgate,196,147.1213386,15.85714286,18.57142857,626.2749834,0.298658097,0.528680365,7.944128925,15.795065,10.29395475
S02001450,Hilltown,271,156.3772936,22.83333333,28.66666667,640.0148305,0.294560035,0.939921557,1.014457712,16.170535,10.477855
